########## REPORT GEN: 2 ##########
SPECIES: 
Carlson        		Mean: 67.51 		Best: 942.62 		N:15
Olson          		Mean: 134.14 		Best: 960.38 		N:7
Earley         		Mean: 104.67 		Best: 957.45 		N:9
Paxton         		Mean: 154.41 		Best: 957.45 		N:6
Batey          		Mean: 102.93 		Best: 946.14 		N:9
Kamphoefner    		Mean: 231.7 		Best: 944.26 		N:4
Necaise        		Mean: 157.65 		Best: 944.26 		N:6
Avila          		Mean: 460.73 		Best: 928.7 		N:2
Harris         		Mean: 186.06 		Best: 928.7 		N:5
Otterson       		Mean: 310.32 		Best: 928.14 		N:3
Merritt        		Mean: 184.41 		Best: 922.03 		N:5
Cantwell       		Mean: 229.79 		Best: 916.84 		N:4
Cooper         		Mean: 152.95 		Best: 915.5 		N:6
Carlson        		Mean: 182.24 		Best: 905.25 		N:5

########## REPORT GEN: 26 ##########
SPECIES: 
Harris         		Mean: 133.61 		Best: 967.91 		N:7
Otterson       		Mean: 234.45 		Best: 967.91 		N:4
Cooper         		Mean: 117.71 		Best: 967.91 		N:8
Mccauley       		Mean: 134.6 		Best: 960.38 		N:7
Kamphoefner    		Mean: 236.06 		Best: 960.38 		N:4
Cantwell       		Mean: 231.4 		Best: 959.13 		N:4
Bond           		Mean: 186.96 		Best: 957.45 		N:5
Hyman          		Mean: 153.95 		Best: 957.45 		N:6
Batey          		Mean: 235.32 		Best: 957.45 		N:4
Avila          		Mean: 229.81 		Best: 957.45 		N:4
Necaise        		Mean: 186.76 		Best: 944.26 		N:5
Parsley        		Mean: 131.34 		Best: 928.14 		N:7
Earley         		Mean: 116.12 		Best: 928.7 		N:8
Olson          		Mean: 153.79 		Best: 927.26 		N:6
Hammond        		Mean: 183.81 		Best: 925.46 		N:5
Toney          		Mean: 303.65 		Best: 922.17 		N:3
Merritt        		Mean: 306.18 		Best: 920.58 		N:3
Carlson        		Mean: 458.77 		Best: 916.96 		N:2
Fleming        		Mean: 182.84 		Best: 914.4 		N:5
Paxton         		Mean: 304.65 		Best: 910.76 		N:3

########## REPORT GEN: 27 ##########
SPECIES: 
Cantwell       		Mean: 189.2 		Best: 967.91 		N:5
Fleming        		Mean: 133.08 		Best: 967.91 		N:7
Kamphoefner    		Mean: 132.74 		Best: 960.38 		N:7
Necaise        		Mean: 234.98 		Best: 960.38 		N:4
Merritt        		Mean: 156.18 		Best: 959.13 		N:6
Avila          		Mean: 155.72 		Best: 957.45 		N:6
Olson          		Mean: 132.39 		Best: 957.45 		N:7
Harris         		Mean: 312.05 		Best: 944.26 		N:3
Batey          		Mean: 185.1 		Best: 934.6 		N:5
Otterson       		Mean: 152.87 		Best: 928.14 		N:6
Cooper         		Mean: 466.12 		Best: 928.14 		N:2
Paxton         		Mean: 184.17 		Best: 928.14 		N:5
Parsley        		Mean: 92.45 		Best: 928.08 		N:10
Bond           		Mean: 305.04 		Best: 925.37 		N:3
Mccauley       		Mean: 228.95 		Best: 925.04 		N:4
Hyman          		Mean: 152.83 		Best: 920.48 		N:6
Toney          		Mean: 183.08 		Best: 916.96 		N:5
Carlson        		Mean: 130.0 		Best: 902.41 		N:7

########## REPORT GEN: 28 ##########
SPECIES: 
Necaise        		Mean: 158.52 		Best: 967.91 		N:6
Merritt        		Mean: 235.39 		Best: 967.91 		N:4
Olson          		Mean: 188.25 		Best: 967.91 		N:5
Batey          		Mean: 154.02 		Best: 967.91 		N:6
Paxton         		Mean: 77.2 		Best: 967.91 		N:12
Mccauley       		Mean: 187.6 		Best: 967.91 		N:5
Carlson        		Mean: 232.62 		Best: 960.38 		N:4
Cantwell       		Mean: 186.86 		Best: 960.38 		N:5
Kamphoefner    		Mean: 131.77 		Best: 957.45 		N:7
Hammond        		Mean: 313.58 		Best: 957.45 		N:3
Otterson       		Mean: 155.25 		Best: 944.26 		N:6
Toney          		Mean: 313.83 		Best: 944.26 		N:3
Bond           		Mean: 182.04 		Best: 929.12 		N:5
Harris         		Mean: 182.96 		Best: 928.14 		N:5
Hyman          		Mean: 310.26 		Best: 928.14 		N:3
Parsley        		Mean: 184.16 		Best: 925.37 		N:5
Earley         		Mean: 152.65 		Best: 920.48 		N:6
Cooper         		Mean: 183.1 		Best: 916.57 		N:5
Avila          		Mean: 302.49 		Best: 902.41 		N:3
Fleming        		Mean: 447.93 		Best: 895.85 		N:2

########## REPORT GEN: 29 ##########
SPECIES: 
Merritt        		Mean: 155.46 		Best: 967.91 		N:6
Olson          		Mean: 186.06 		Best: 967.91 		N:5
Batey          		Mean: 154.44 		Best: 967.91 		N:6
Carlson        		Mean: 154.42 		Best: 967.91 		N:6
Hammond        		Mean: 234.01 		Best: 967.91 		N:4
Cooper         		Mean: 155.46 		Best: 967.91 		N:6
Hyman          		Mean: 467.62 		Best: 960.38 		N:2
Parsley        		Mean: 133.27 		Best: 960.38 		N:7
Otterson       		Mean: 115.96 		Best: 957.45 		N:8
Fleming        		Mean: 154.56 		Best: 957.45 		N:6
Earley         		Mean: 232.22 		Best: 944.26 		N:4
Cantwell       		Mean: 155.0 		Best: 932.39 		N:6
Mccauley       		Mean: 131.02 		Best: 928.14 		N:7
Toney          		Mean: 130.61 		Best: 928.14 		N:7
Bond           		Mean: 229.01 		Best: 928.14 		N:4
Necaise        		Mean: 153.14 		Best: 927.76 		N:6
Avila          		Mean: 455.32 		Best: 922.7 		N:2
Harris         		Mean: 228.33 		Best: 914.7 		N:4
Paxton         		Mean: 302.1 		Best: 902.29 		N:3

########## REPORT GEN: 30 ##########
SPECIES: 
Olson          		Mean: 184.81 		Best: 967.91 		N:5
Cooper         		Mean: 154.32 		Best: 967.91 		N:6
Hyman          		Mean: 157.29 		Best: 967.91 		N:6
Parsley        		Mean: 184.63 		Best: 967.91 		N:5
Bond           		Mean: 188.83 		Best: 967.91 		N:5
Harris         		Mean: 233.96 		Best: 967.91 		N:4
Otterson       		Mean: 313.52 		Best: 960.38 		N:3
Necaise        		Mean: 152.78 		Best: 960.38 		N:6
Kamphoefner    		Mean: 134.24 		Best: 957.45 		N:7
Mccauley       		Mean: 131.3 		Best: 944.26 		N:7
Earley         		Mean: 184.92 		Best: 932.39 		N:5
Cantwell       		Mean: 182.73 		Best: 929.12 		N:5
Toney          		Mean: 229.86 		Best: 928.33 		N:4
Hammond        		Mean: 183.05 		Best: 928.14 		N:5
Batey          		Mean: 306.18 		Best: 925.37 		N:3
Paxton         		Mean: 114.42 		Best: 925.37 		N:8
Avila          		Mean: 301.89 		Best: 920.48 		N:3
Carlson        		Mean: 152.31 		Best: 914.7 		N:6
Fleming        		Mean: 225.06 		Best: 896.75 		N:4

########## REPORT GEN: 31 ##########
SPECIES: 
Cooper         		Mean: 235.87 		Best: 967.91 		N:4
Hyman          		Mean: 184.38 		Best: 967.91 		N:5
Parsley        		Mean: 309.02 		Best: 967.91 		N:3
Harris         		Mean: 115.8 		Best: 967.91 		N:8
Paxton         		Mean: 232.14 		Best: 967.91 		N:4
Avila          		Mean: 190.67 		Best: 967.91 		N:5
Fleming        		Mean: 116.62 		Best: 967.91 		N:8
Merritt        		Mean: 186.3 		Best: 960.38 		N:5
Earley         		Mean: 308.21 		Best: 960.38 		N:3
Otterson       		Mean: 77.7 		Best: 959.58 		N:12
Olson          		Mean: 152.45 		Best: 957.45 		N:6
Mccauley       		Mean: 115.67 		Best: 941.65 		N:8
Bond           		Mean: 306.3 		Best: 928.14 		N:3
Cantwell       		Mean: 184.27 		Best: 925.37 		N:5
Batey          		Mean: 182.5 		Best: 925.37 		N:5
Necaise        		Mean: 452.33 		Best: 902.04 		N:2
Toney          		Mean: 181.4 		Best: 902.34 		N:5
Carlson        		Mean: 452.77 		Best: 901.16 		N:2
Hammond        		Mean: 447.42 		Best: 894.0 		N:2

########## REPORT GEN: 32 ##########
SPECIES: 
Avila          		Mean: 135.3 		Best: 999.78 		N:7
Parsley        		Mean: 103.67 		Best: 967.91 		N:9
Fleming        		Mean: 234.78 		Best: 967.91 		N:4
Otterson       		Mean: 93.55 		Best: 967.91 		N:10
Mccauley       		Mean: 233.92 		Best: 967.91 		N:4
Bond           		Mean: 469.22 		Best: 967.91 		N:2
Cantwell       		Mean: 155.28 		Best: 967.91 		N:6
Kamphoefner    		Mean: 115.72 		Best: 967.91 		N:8
Hammond        		Mean: 132.09 		Best: 967.91 		N:7
Olson          		Mean: 233.11 		Best: 960.38 		N:4
Hyman          		Mean: 185.23 		Best: 941.65 		N:5
Batey          		Mean: 308.22 		Best: 941.65 		N:3
Necaise        		Mean: 306.96 		Best: 933.96 		N:3
Cooper         		Mean: 113.65 		Best: 928.14 		N:8
Earley         		Mean: 457.6 		Best: 928.14 		N:2
Merritt        		Mean: 228.0 		Best: 911.19 		N:4
Harris         		Mean: 227.08 		Best: 902.52 		N:4
Carlson        		Mean: 452.33 		Best: 901.16 		N:2

