########## REPORT GEN: 2 ##########
SPECIES: 
Toca           		Mean: 323.97 		Best: 941.16 		N:3
Church         		Mean: 307.84 		Best: 916.94 		N:3
Smith          		Mean: 153.9 		Best: 915.87 		N:6
Allen          		Mean: 228.81 		Best: 915.38 		N:4
Toca           		Mean: 153.58 		Best: 914.6 		N:6
Atkins         		Mean: 306.48 		Best: 914.57 		N:3
Mercado        		Mean: 305.31 		Best: 909.24 		N:3
Henley         		Mean: 452.12 		Best: 901.54 		N:2
Truax          		Mean: 226.55 		Best: 901.52 		N:4
Randell        		Mean: 181.21 		Best: 901.52 		N:5

########## REPORT GEN: 36 ##########
SPECIES: 
Mclean         		Mean: 188.87 		Best: 948.91 		N:5
Robinson       		Mean: 156.68 		Best: 941.16 		N:6
Patrick        		Mean: 118.31 		Best: 941.16 		N:8
Priddy         		Mean: 231.08 		Best: 941.16 		N:4
Lockridge      		Mean: 309.45 		Best: 920.0 		N:3
Allen          		Mean: 153.88 		Best: 916.94 		N:6
Toca           		Mean: 153.09 		Best: 916.94 		N:6
Smith          		Mean: 183.14 		Best: 915.74 		N:5
Church         		Mean: 153.12 		Best: 914.57 		N:6
Atkins         		Mean: 305.41 		Best: 914.55 		N:3
Mercado        		Mean: 152.48 		Best: 909.24 		N:6
Henley         		Mean: 225.98 		Best: 901.54 		N:4
Truax          		Mean: 181.98 		Best: 901.52 		N:5
Randell        		Mean: 150.66 		Best: 901.52 		N:6

########## REPORT GEN: 37 ##########
SPECIES: 
Mclean         		Mean: 311.64 		Best: 948.91 		N:3
Ulrich         		Mean: 237.75 		Best: 948.91 		N:4
Patrick        		Mean: 314.17 		Best: 941.16 		N:3
Priddy         		Mean: 183.96 		Best: 941.16 		N:5
Church         		Mean: 155.04 		Best: 941.16 		N:6
Truax          		Mean: 83.75 		Best: 941.16 		N:11
Lockridge      		Mean: 115.59 		Best: 920.0 		N:8
Smith          		Mean: 232.21 		Best: 920.0 		N:4
Robinson       		Mean: 91.83 		Best: 916.94 		N:10
Toca           		Mean: 183.94 		Best: 914.61 		N:5
Atkins         		Mean: 461.99 		Best: 914.59 		N:2
Allen          		Mean: 303.9 		Best: 914.19 		N:3
Mercado        		Mean: 151.94 		Best: 909.24 		N:6
Henley         		Mean: 129.27 		Best: 901.54 		N:7
Randell        		Mean: 227.21 		Best: 901.52 		N:4

########## REPORT GEN: 38 ##########
SPECIES: 
Mclean         		Mean: 118.42 		Best: 948.91 		N:8
Ulrich         		Mean: 133.91 		Best: 948.91 		N:7
Patrick        		Mean: 313.26 		Best: 941.16 		N:3
Church         		Mean: 188.54 		Best: 941.16 		N:5
Truax          		Mean: 132.27 		Best: 941.16 		N:7
Toca           		Mean: 155.26 		Best: 941.16 		N:6
Lockridge      		Mean: 154.74 		Best: 920.0 		N:6
Smith          		Mean: 185.01 		Best: 919.46 		N:5
Allen          		Mean: 153.14 		Best: 915.38 		N:6
Robinson       		Mean: 183.16 		Best: 915.38 		N:5
Atkins         		Mean: 184.48 		Best: 914.61 		N:5
Henley         		Mean: 182.67 		Best: 909.24 		N:5
Priddy         		Mean: 227.12 		Best: 901.99 		N:4
Mercado        		Mean: 300.79 		Best: 901.54 		N:3
Randell        		Mean: 151.43 		Best: 901.52 		N:6

########## REPORT GEN: 39 ##########
SPECIES: 
Mclean         		Mean: 234.55 		Best: 948.91 		N:4
Ulrich         		Mean: 234.31 		Best: 948.91 		N:4
Patrick        		Mean: 187.09 		Best: 941.16 		N:5
Church         		Mean: 94.12 		Best: 941.16 		N:10
Robinson       		Mean: 154.67 		Best: 941.16 		N:6
Randell        		Mean: 70.17 		Best: 941.16 		N:13
Smith          		Mean: 153.93 		Best: 920.0 		N:6
Lockridge      		Mean: 184.03 		Best: 915.96 		N:5
Priddy         		Mean: 227.35 		Best: 914.62 		N:4
Toca           		Mean: 306.73 		Best: 914.59 		N:3
Atkins         		Mean: 153.48 		Best: 914.58 		N:6
Allen          		Mean: 227.46 		Best: 914.57 		N:4
Henley         		Mean: 129.66 		Best: 909.24 		N:7
Mercado        		Mean: 181.83 		Best: 909.24 		N:5

########## REPORT GEN: 40 ##########
SPECIES: 
Mclean         		Mean: 84.75 		Best: 948.91 		N:11
Ulrich         		Mean: 134.26 		Best: 948.91 		N:7
Church         		Mean: 314.76 		Best: 941.16 		N:3
Priddy         		Mean: 114.95 		Best: 941.16 		N:8
Atkins         		Mean: 116.26 		Best: 941.16 		N:8
Patrick        		Mean: 186.01 		Best: 929.42 		N:5
Lockridge      		Mean: 102.49 		Best: 920.0 		N:9
Smith          		Mean: 229.36 		Best: 915.93 		N:4
Randell        		Mean: 151.74 		Best: 914.74 		N:6
Toca           		Mean: 183.16 		Best: 914.59 		N:5
Robinson       		Mean: 102.11 		Best: 914.6 		N:9
Allen          		Mean: 114.14 		Best: 914.57 		N:8
Henley         		Mean: 304.19 		Best: 909.24 		N:3
Mercado        		Mean: 100.79 		Best: 909.24 		N:9

########## REPORT GEN: 41 ##########
SPECIES: 
Mclean         		Mean: 132.71 		Best: 948.91 		N:7
Church         		Mean: 85.35 		Best: 941.16 		N:11
Priddy         		Mean: 229.76 		Best: 941.16 		N:4
Smith          		Mean: 184.99 		Best: 920.0 		N:5
Ulrich         		Mean: 307.75 		Best: 919.42 		N:3
Lockridge      		Mean: 131.4 		Best: 915.93 		N:7
Randell        		Mean: 129.49 		Best: 914.74 		N:7
Atkins         		Mean: 182.31 		Best: 914.59 		N:5
Robinson       		Mean: 152.28 		Best: 914.59 		N:6
Toca           		Mean: 151.75 		Best: 914.58 		N:6
Patrick        		Mean: 229.67 		Best: 914.57 		N:4
Mercado        		Mean: 152.22 		Best: 909.24 		N:6
Allen          		Mean: 227.0 		Best: 902.9 		N:4
Henley         		Mean: 225.6 		Best: 901.52 		N:4

########## REPORT GEN: 42 ##########
SPECIES: 
Ulrich         		Mean: 154.73 		Best: 948.91 		N:6
Priddy         		Mean: 184.34 		Best: 941.16 		N:5
Allen          		Mean: 91.93 		Best: 941.16 		N:10
Mclean         		Mean: 185.47 		Best: 929.13 		N:5
Patrick        		Mean: 131.12 		Best: 922.94 		N:7
Lockridge      		Mean: 309.68 		Best: 920.0 		N:3
Smith          		Mean: 101.92 		Best: 915.93 		N:9
Toca           		Mean: 115.24 		Best: 915.91 		N:8
Robinson       		Mean: 182.41 		Best: 914.59 		N:5
Mercado        		Mean: 129.8 		Best: 909.24 		N:7
Atkins         		Mean: 91.14 		Best: 902.9 		N:10
Henley         		Mean: 128.95 		Best: 901.52 		N:7
Randell        		Mean: 113.79 		Best: 901.52 		N:8

########## REPORT GEN: 43 ##########
SPECIES: 
Mclean         		Mean: 132.82 		Best: 948.91 		N:7
Priddy         		Mean: 131.14 		Best: 941.16 		N:7
Toca           		Mean: 102.26 		Best: 941.16 		N:9
Robinson       		Mean: 152.92 		Best: 922.94 		N:6
Lockridge      		Mean: 231.32 		Best: 920.0 		N:4
Patrick        		Mean: 305.6 		Best: 915.91 		N:3
Allen          		Mean: 114.54 		Best: 914.72 		N:8
Ulrich         		Mean: 91.77 		Best: 915.7 		N:10
Smith          		Mean: 131.35 		Best: 915.99 		N:7
Atkins         		Mean: 182.31 		Best: 903.52 		N:5
Henley         		Mean: 300.9 		Best: 901.52 		N:3
Randell        		Mean: 129.03 		Best: 901.52 		N:7
Mercado        		Mean: 112.87 		Best: 901.52 		N:8

########## REPORT GEN: 44 ##########
SPECIES: 
Mclean         		Mean: 234.93 		Best: 948.91 		N:4
Priddy         		Mean: 308.16 		Best: 941.16 		N:3
Allen          		Mean: 185.35 		Best: 941.16 		N:5
Randell        		Mean: 184.12 		Best: 941.16 		N:5
Toca           		Mean: 131.46 		Best: 922.94 		N:7
Lockridge      		Mean: 115.98 		Best: 920.0 		N:8
Patrick        		Mean: 304.28 		Best: 915.91 		N:3
Atkins         		Mean: 227.87 		Best: 914.59 		N:4
Ulrich         		Mean: 183.46 		Best: 912.63 		N:5
Smith          		Mean: 306.02 		Best: 914.73 		N:3
Birt           		Mean: 455.16 		Best: 909.24 		N:2
Robinson       		Mean: 151.91 		Best: 905.43 		N:6
Henley         		Mean: 180.62 		Best: 901.52 		N:5
Mercado        		Mean: 180.47 		Best: 901.52 		N:5

########## REPORT GEN: 45 ##########
SPECIES: 
Mclean         		Mean: 233.49 		Best: 948.91 		N:4
Ulrich         		Mean: 116.97 		Best: 948.91 		N:8
Priddy         		Mean: 130.95 		Best: 941.16 		N:7
Randell        		Mean: 229.9 		Best: 941.16 		N:4
Toca           		Mean: 154.84 		Best: 941.16 		N:6
Atkins         		Mean: 114.88 		Best: 922.94 		N:8
Smith          		Mean: 154.29 		Best: 920.0 		N:6
Lockridge      		Mean: 229.44 		Best: 915.34 		N:4
Birt           		Mean: 227.58 		Best: 909.24 		N:4
Patrick        		Mean: 152.56 		Best: 909.2 		N:6
Allen          		Mean: 303.57 		Best: 902.9 		N:3
Mercado        		Mean: 301.16 		Best: 901.52 		N:3
Henley         		Mean: 128.93 		Best: 901.52 		N:7
Robinson       		Mean: 301.95 		Best: 902.01 		N:3

########## REPORT GEN: 46 ##########
SPECIES: 
Mclean         		Mean: 132.74 		Best: 948.91 		N:7
Ulrich         		Mean: 187.41 		Best: 948.91 		N:5
Priddy         		Mean: 229.74 		Best: 941.16 		N:4
Randell        		Mean: 115.44 		Best: 941.16 		N:8
Patrick        		Mean: 115.2 		Best: 941.16 		N:8
Atkins         		Mean: 152.68 		Best: 922.94 		N:6
Bravo          		Mean: 463.99 		Best: 920.0 		N:2
Lockridge      		Mean: 183.45 		Best: 915.34 		N:5
Smith          		Mean: 153.27 		Best: 915.34 		N:6
Allen          		Mean: 305.25 		Best: 914.57 		N:3
Birt           		Mean: 113.81 		Best: 909.24 		N:8
Toca           		Mean: 151.89 		Best: 909.2 		N:6
Robinson       		Mean: 301.89 		Best: 902.36 		N:3
Henley         		Mean: 129.14 		Best: 901.52 		N:7
Mercado        		Mean: 300.87 		Best: 901.52 		N:3

########## REPORT GEN: 47 ##########
SPECIES: 
Mclean         		Mean: 310.22 		Best: 948.91 		N:3
Ulrich         		Mean: 132.18 		Best: 948.91 		N:7
Priddy         		Mean: 152.42 		Best: 941.16 		N:6
Randell        		Mean: 183.6 		Best: 941.16 		N:5
Allen          		Mean: 92.3 		Best: 941.16 		N:10
Bravo          		Mean: 155.12 		Best: 920.0 		N:6
Lockridge      		Mean: 131.06 		Best: 914.73 		N:7
Robinson       		Mean: 305.12 		Best: 914.58 		N:3
Smith          		Mean: 456.36 		Best: 912.25 		N:2
Birt           		Mean: 227.75 		Best: 909.24 		N:4
Patrick        		Mean: 151.46 		Best: 909.2 		N:6
Toca           		Mean: 130.3 		Best: 903.06 		N:7
Henley         		Mean: 225.93 		Best: 901.52 		N:4
Mercado        		Mean: 150.53 		Best: 901.52 		N:6

########## REPORT GEN: 48 ##########
SPECIES: 
Mclean         		Mean: 183.49 		Best: 948.91 		N:5
Ulrich         		Mean: 185.06 		Best: 948.91 		N:5
Priddy         		Mean: 102.21 		Best: 941.16 		N:9
Toca           		Mean: 231.9 		Best: 941.16 		N:4
Birt           		Mean: 114.23 		Best: 923.84 		N:8
Bravo          		Mean: 306.78 		Best: 920.0 		N:3
Smith          		Mean: 131.18 		Best: 914.99 		N:7
Lockridge      		Mean: 305.78 		Best: 914.73 		N:3
Allen          		Mean: 229.24 		Best: 914.58 		N:4
Robinson       		Mean: 131.01 		Best: 914.61 		N:7
Patrick        		Mean: 183.81 		Best: 914.58 		N:5
Henley         		Mean: 129.04 		Best: 901.52 		N:7
Randell        		Mean: 450.76 		Best: 901.52 		N:2
Mercado        		Mean: 150.64 		Best: 901.52 		N:6

########## REPORT GEN: 49 ##########
SPECIES: 
Mclean         		Mean: 184.11 		Best: 948.91 		N:5
Patrick        		Mean: 76.89 		Best: 941.16 		N:12
Ator           		Mean: 308.27 		Best: 941.16 		N:3
Birt           		Mean: 228.82 		Best: 923.84 		N:4
Smith          		Mean: 114.96 		Best: 915.31 		N:8
Bravo          		Mean: 132.1 		Best: 920.0 		N:7
Allen          		Mean: 183.4 		Best: 914.58 		N:5
Robinson       		Mean: 182.43 		Best: 909.2 		N:5
Ulrich         		Mean: 129.96 		Best: 907.84 		N:7
Toca           		Mean: 226.67 		Best: 903.06 		N:4
Mercado        		Mean: 180.93 		Best: 901.52 		N:5
Randell        		Mean: 451.28 		Best: 901.52 		N:2
Priddy         		Mean: 301.58 		Best: 901.52 		N:3
Henley         		Mean: 225.72 		Best: 901.52 		N:4

########## REPORT GEN: 50 ##########
SPECIES: 
Mclean         		Mean: 307.91 		Best: 948.91 		N:3
Ulrich         		Mean: 183.57 		Best: 948.91 		N:5
Patrick        		Mean: 154.09 		Best: 941.16 		N:6
Ator           		Mean: 83.91 		Best: 941.16 		N:11
Birt           		Mean: 182.79 		Best: 923.84 		N:5
Smith          		Mean: 154.41 		Best: 919.57 		N:6
Robinson       		Mean: 305.01 		Best: 914.58 		N:3
Toca           		Mean: 228.34 		Best: 914.57 		N:4
Lockridge      		Mean: 306.37 		Best: 914.73 		N:3
Allen          		Mean: 152.35 		Best: 905.65 		N:6
Mercado        		Mean: 226.05 		Best: 901.52 		N:4
Randell        		Mean: 452.47 		Best: 901.52 		N:2
Priddy         		Mean: 301.65 		Best: 901.52 		N:3
Henley         		Mean: 180.64 		Best: 901.52 		N:5

########## REPORT GEN: 51 ##########
SPECIES: 
Mclean         		Mean: 102.08 		Best: 948.91 		N:9
Ulrich         		Mean: 233.04 		Best: 948.91 		N:4
Patrick        		Mean: 115.48 		Best: 941.16 		N:8
Birt           		Mean: 152.58 		Best: 923.84 		N:6
Lockridge      		Mean: 154.06 		Best: 919.57 		N:6
Smith          		Mean: 228.71 		Best: 914.99 		N:4
Allen          		Mean: 152.02 		Best: 914.58 		N:6
Robinson       		Mean: 152.44 		Best: 914.58 		N:6
Mercado        		Mean: 180.89 		Best: 901.52 		N:5
Priddy         		Mean: 301.7 		Best: 901.52 		N:3
Ator           		Mean: 129.27 		Best: 901.52 		N:7
Randell        		Mean: 226.64 		Best: 901.52 		N:4
Henley         		Mean: 150.47 		Best: 901.52 		N:6

########## REPORT GEN: 52 ##########
SPECIES: 
Mclean         		Mean: 155.26 		Best: 948.91 		N:6
Carlton        		Mean: 470.58 		Best: 941.16 		N:2
Robinson       		Mean: 184.57 		Best: 941.16 		N:5
Birt           		Mean: 306.77 		Best: 923.84 		N:3
Patrick        		Mean: 152.13 		Best: 913.89 		N:6
Smith          		Mean: 152.92 		Best: 912.25 		N:6
Ulrich         		Mean: 302.75 		Best: 907.84 		N:3
Priddy         		Mean: 100.68 		Best: 901.52 		N:9
Mercado        		Mean: 452.38 		Best: 901.52 		N:2
Ator           		Mean: 181.22 		Best: 901.52 		N:5
Henley         		Mean: 180.72 		Best: 901.52 		N:5

########## REPORT GEN: 53 ##########
SPECIES: 
Ulrich         		Mean: 229.44 		Best: 948.91 		N:4
Carlton        		Mean: 235.29 		Best: 941.16 		N:4
Robinson       		Mean: 466.9 		Best: 941.16 		N:2
Taylor         		Mean: 304.29 		Best: 919.75 		N:3
Lockridge      		Mean: 185.64 		Best: 919.57 		N:5
Smith          		Mean: 458.45 		Best: 914.99 		N:2
Patrick        		Mean: 229.33 		Best: 914.58 		N:4
Allen          		Mean: 458.38 		Best: 913.89 		N:2
Mclean         		Mean: 226.93 		Best: 907.84 		N:4
Henley         		Mean: 452.09 		Best: 901.52 		N:2
Birt           		Mean: 302.09 		Best: 901.52 		N:3
Priddy         		Mean: 151.21 		Best: 901.52 		N:6
Mercado        		Mean: 225.98 		Best: 901.52 		N:4

########## REPORT GEN: 54 ##########
SPECIES: 
Mclean         		Mean: 152.54 		Best: 948.91 		N:6
Carlton        		Mean: 235.48 		Best: 941.16 		N:4
Robinson       		Mean: 465.99 		Best: 941.16 		N:2
Allen          		Mean: 154.08 		Best: 941.16 		N:6
Ulrich         		Mean: 457.35 		Best: 920.81 		N:2
Taylor         		Mean: 151.69 		Best: 919.75 		N:6
Lockridge      		Mean: 308.68 		Best: 919.57 		N:3
Patrick        		Mean: 228.7 		Best: 914.58 		N:4
Smith          		Mean: 229.04 		Best: 912.25 		N:4
Henley         		Mean: 113.17 		Best: 901.52 		N:8
Priddy         		Mean: 226.55 		Best: 901.52 		N:4
Birt           		Mean: 181.09 		Best: 901.52 		N:5

########## REPORT GEN: 55 ##########
SPECIES: 
Ulrich         		Mean: 153.39 		Best: 948.91 		N:6
Carlton        		Mean: 188.43 		Best: 941.16 		N:5
Robinson       		Mean: 157.03 		Best: 941.16 		N:6
Smith          		Mean: 102.19 		Best: 923.89 		N:9
Mclean         		Mean: 303.84 		Best: 920.81 		N:3
Taylor         		Mean: 304.54 		Best: 919.75 		N:3
Patrick        		Mean: 451.6 		Best: 902.61 		N:2
Allen          		Mean: 304.02 		Best: 906.51 		N:3
Birt           		Mean: 226.5 		Best: 901.52 		N:4
Priddy         		Mean: 453.68 		Best: 901.52 		N:2
Mercado        		Mean: 225.97 		Best: 901.52 		N:4
Ator           		Mean: 225.45 		Best: 901.52 		N:4

########## REPORT GEN: 56 ##########
SPECIES: 
Ulrich         		Mean: 232.42 		Best: 948.91 		N:4
Mclean         		Mean: 184.92 		Best: 948.91 		N:5
Carlton        		Mean: 314.03 		Best: 941.16 		N:3
Smith          		Mean: 229.42 		Best: 923.89 		N:4
Taylor         		Mean: 151.78 		Best: 919.75 		N:6
Lockridge      		Mean: 459.78 		Best: 919.57 		N:2
Patrick        		Mean: 152.2 		Best: 914.97 		N:6
Allen          		Mean: 152.57 		Best: 914.58 		N:6
Henley         		Mean: 181.21 		Best: 901.52 		N:5
Priddy         		Mean: 302.42 		Best: 901.52 		N:3
Birt           		Mean: 452.42 		Best: 901.52 		N:2
Mercado        		Mean: 301.76 		Best: 901.52 		N:3
Ator           		Mean: 180.55 		Best: 901.52 		N:5

########## REPORT GEN: 57 ##########
SPECIES: 
Ulrich         		Mean: 187.75 		Best: 948.91 		N:5
Mclean         		Mean: 229.5 		Best: 948.91 		N:4
Carlton        		Mean: 157.19 		Best: 941.16 		N:6
Robinson       		Mean: 470.58 		Best: 941.16 		N:2
Smith          		Mean: 183.46 		Best: 923.89 		N:5
Taylor         		Mean: 304.76 		Best: 919.75 		N:3
Lockridge      		Mean: 230.05 		Best: 919.57 		N:4
Patrick        		Mean: 307.5 		Best: 914.97 		N:3
Allen          		Mean: 303.29 		Best: 901.7 		N:3
Mercado        		Mean: 181.4 		Best: 901.52 		N:5
Priddy         		Mean: 181.27 		Best: 901.52 		N:5
Henley         		Mean: 301.62 		Best: 901.52 		N:3
Birt           		Mean: 150.98 		Best: 901.52 		N:6
Ator           		Mean: 180.6 		Best: 901.52 		N:5

########## REPORT GEN: 58 ##########
SPECIES: 
Ulrich         		Mean: 184.02 		Best: 948.91 		N:5
Mclean         		Mean: 153.03 		Best: 948.91 		N:6
Carlton        		Mean: 235.75 		Best: 941.16 		N:4
Robinson       		Mean: 235.54 		Best: 941.16 		N:4
Smith          		Mean: 183.69 		Best: 923.89 		N:5
Taylor         		Mean: 152.35 		Best: 919.75 		N:6
Lockridge      		Mean: 153.55 		Best: 919.73 		N:6
Allen          		Mean: 152.67 		Best: 919.39 		N:6
Patrick        		Mean: 152.33 		Best: 914.97 		N:6
Henley         		Mean: 151.34 		Best: 914.58 		N:6
Mercado        		Mean: 181.33 		Best: 901.52 		N:5
Birt           		Mean: 226.6 		Best: 901.52 		N:4
Priddy         		Mean: 302.62 		Best: 901.52 		N:3
Ator           		Mean: 129.01 		Best: 901.52 		N:7

########## REPORT GEN: 59 ##########
SPECIES: 
Ulrich         		Mean: 153.35 		Best: 948.91 		N:6
Carlton        		Mean: 117.92 		Best: 941.16 		N:8
Robinson       		Mean: 117.41 		Best: 941.16 		N:8
Smith          		Mean: 131.0 		Best: 923.89 		N:7
Taylor         		Mean: 183.3 		Best: 919.75 		N:5
Lockridge      		Mean: 184.43 		Best: 919.65 		N:5
Patrick        		Mean: 228.53 		Best: 919.39 		N:4
Allen          		Mean: 152.31 		Best: 914.97 		N:6
Mercado        		Mean: 150.97 		Best: 914.58 		N:6
Mclean         		Mean: 150.43 		Best: 902.02 		N:6
Henley         		Mean: 129.51 		Best: 901.52 		N:7
Birt           		Mean: 151.05 		Best: 901.52 		N:6
Ator           		Mean: 151.06 		Best: 901.52 		N:6
Priddy         		Mean: 226.82 		Best: 901.52 		N:4

########## REPORT GEN: 60 ##########
SPECIES: 
Ulrich         		Mean: 155.27 		Best: 948.91 		N:6
Carlton        		Mean: 188.67 		Best: 941.16 		N:5
Robinson       		Mean: 185.8 		Best: 941.16 		N:5
Mclean         		Mean: 129.96 		Best: 929.5 		N:7
Smith          		Mean: 183.67 		Best: 923.72 		N:5
Taylor         		Mean: 114.12 		Best: 920.33 		N:8
Lockridge      		Mean: 115.29 		Best: 919.92 		N:8
Patrick        		Mean: 151.16 		Best: 919.39 		N:6
Allen          		Mean: 114.65 		Best: 919.39 		N:8
Mercado        		Mean: 151.33 		Best: 914.58 		N:6
Ator           		Mean: 226.76 		Best: 901.52 		N:4
Priddy         		Mean: 90.51 		Best: 901.52 		N:10
Henley         		Mean: 129.42 		Best: 901.52 		N:7
Birt           		Mean: 225.84 		Best: 901.52 		N:4

########## REPORT GEN: 61 ##########
SPECIES: 
Ulrich         		Mean: 133.62 		Best: 948.91 		N:7
Carlton        		Mean: 117.58 		Best: 941.16 		N:8
Robinson       		Mean: 116.36 		Best: 941.16 		N:8
Mclean         		Mean: 151.9 		Best: 929.5 		N:6
Smith          		Mean: 114.46 		Best: 923.72 		N:8
Taylor         		Mean: 182.71 		Best: 919.75 		N:5
Lockridge      		Mean: 184.69 		Best: 919.92 		N:5
Patrick        		Mean: 113.7 		Best: 919.39 		N:8
Henley         		Mean: 90.66 		Best: 914.58 		N:10
Ator           		Mean: 100.78 		Best: 901.52 		N:9
Mercado        		Mean: 180.9 		Best: 901.52 		N:5
Priddy         		Mean: 225.64 		Best: 901.52 		N:4
Birt           		Mean: 225.9 		Best: 901.52 		N:4
Allen          		Mean: 303.65 		Best: 901.59 		N:3

########## REPORT GEN: 62 ##########
SPECIES: 
Mclean         		Mean: 153.5 		Best: 948.91 		N:6
Ulrich         		Mean: 183.14 		Best: 948.91 		N:5
Carlton        		Mean: 187.17 		Best: 941.16 		N:5
Robinson       		Mean: 184.94 		Best: 941.16 		N:5
Smith          		Mean: 183.5 		Best: 923.72 		N:5
Taylor         		Mean: 113.56 		Best: 919.75 		N:8
Lockridge      		Mean: 115.44 		Best: 919.95 		N:8
Patrick        		Mean: 113.17 		Best: 919.39 		N:8
Mercado        		Mean: 129.87 		Best: 914.58 		N:7
Allen          		Mean: 300.81 		Best: 901.59 		N:3
Priddy         		Mean: 129.48 		Best: 901.52 		N:7
Birt           		Mean: 100.42 		Best: 901.52 		N:9
Henley         		Mean: 181.03 		Best: 901.52 		N:5
Ator           		Mean: 180.76 		Best: 901.52 		N:5

########## REPORT GEN: 63 ##########
SPECIES: 
Mclean         		Mean: 92.5 		Best: 948.91 		N:10
Ulrich         		Mean: 229.43 		Best: 948.91 		N:4
Carlton        		Mean: 116.39 		Best: 941.16 		N:8
Robinson       		Mean: 114.82 		Best: 941.16 		N:8
Smith          		Mean: 114.41 		Best: 923.72 		N:8
Taylor         		Mean: 183.07 		Best: 919.75 		N:5
Lockridge      		Mean: 184.57 		Best: 919.88 		N:5
Patrick        		Mean: 181.25 		Best: 919.39 		N:5
Birt           		Mean: 129.76 		Best: 914.58 		N:7
Allen          		Mean: 150.39 		Best: 901.57 		N:6
Hazzard        		Mean: 302.99 		Best: 901.52 		N:3
Henley         		Mean: 226.04 		Best: 901.52 		N:4
Mercado        		Mean: 151.01 		Best: 901.52 		N:6
Priddy         		Mean: 180.7 		Best: 901.52 		N:5
Ator           		Mean: 180.73 		Best: 901.52 		N:5

########## REPORT GEN: 64 ##########
SPECIES: 
Mclean         		Mean: 183.12 		Best: 948.91 		N:5
Ulrich         		Mean: 102.55 		Best: 948.91 		N:9
Carlton        		Mean: 234.61 		Best: 941.16 		N:4
Robinson       		Mean: 230.78 		Best: 941.16 		N:4
Smith          		Mean: 229.56 		Best: 923.72 		N:4
Lockridge      		Mean: 131.86 		Best: 919.88 		N:7
Taylor         		Mean: 130.3 		Best: 919.75 		N:7
Patrick        		Mean: 129.21 		Best: 919.39 		N:7
Mercado        		Mean: 151.51 		Best: 914.58 		N:6
Allen          		Mean: 180.6 		Best: 901.57 		N:5
Hazzard        		Mean: 226.91 		Best: 901.52 		N:4
Priddy         		Mean: 151.55 		Best: 901.52 		N:6
Birt           		Mean: 113.0 		Best: 901.52 		N:8
Henley         		Mean: 226.51 		Best: 901.52 		N:4
Ator           		Mean: 100.5 		Best: 901.52 		N:9

########## REPORT GEN: 65 ##########
SPECIES: 
Ulrich         		Mean: 187.01 		Best: 948.91 		N:5
Carlton        		Mean: 156.22 		Best: 941.16 		N:6
Robinson       		Mean: 154.68 		Best: 941.16 		N:6
Smith          		Mean: 152.56 		Best: 923.72 		N:6
Lockridge      		Mean: 307.46 		Best: 919.88 		N:3
Taylor         		Mean: 305.7 		Best: 919.75 		N:3
Allen          		Mean: 228.49 		Best: 919.39 		N:4
Henley         		Mean: 181.77 		Best: 914.58 		N:5
Mclean         		Mean: 225.76 		Best: 902.02 		N:4
Patrick        		Mean: 227.63 		Best: 901.57 		N:4
Hazzard        		Mean: 225.95 		Best: 901.52 		N:4
Priddy         		Mean: 151.41 		Best: 901.52 		N:6
Ator           		Mean: 226.9 		Best: 901.52 		N:4
Mercado        		Mean: 452.76 		Best: 901.52 		N:2
Birt           		Mean: 129.29 		Best: 901.52 		N:7
Green          		Mean: 450.76 		Best: 901.52 		N:2

########## REPORT GEN: 66 ##########
SPECIES: 
Ulrich         		Mean: 312.77 		Best: 948.91 		N:3
Carlton        		Mean: 231.99 		Best: 941.16 		N:4
Robinson       		Mean: 231.8 		Best: 941.16 		N:4
Smith          		Mean: 230.48 		Best: 923.72 		N:4
Lockridge      		Mean: 153.72 		Best: 919.88 		N:6
Taylor         		Mean: 151.73 		Best: 919.75 		N:6
Allen          		Mean: 130.25 		Best: 919.39 		N:7
Henley         		Mean: 151.33 		Best: 914.58 		N:6
Mclean         		Mean: 150.58 		Best: 902.09 		N:6
Patrick        		Mean: 181.92 		Best: 901.54 		N:5
Ator           		Mean: 129.17 		Best: 901.52 		N:7
Hazzard        		Mean: 113.7 		Best: 901.52 		N:8
Priddy         		Mean: 450.9 		Best: 901.52 		N:2
Mercado        		Mean: 300.79 		Best: 901.52 		N:3
Birt           		Mean: 451.88 		Best: 901.52 		N:2
Green          		Mean: 301.24 		Best: 901.52 		N:3

########## REPORT GEN: 67 ##########
SPECIES: 
Ulrich         		Mean: 132.46 		Best: 948.91 		N:7
Mclean         		Mean: 307.38 		Best: 948.91 		N:3
Carlton        		Mean: 154.24 		Best: 941.16 		N:6
Robinson       		Mean: 154.73 		Best: 941.16 		N:6
Smith          		Mean: 152.53 		Best: 923.72 		N:6
Taylor         		Mean: 228.39 		Best: 919.75 		N:4
Patrick        		Mean: 151.35 		Best: 919.39 		N:6
Lockridge      		Mean: 230.59 		Best: 919.88 		N:4
Birt           		Mean: 151.24 		Best: 914.58 		N:6
Ator           		Mean: 226.78 		Best: 901.52 		N:4
Hazzard        		Mean: 181.45 		Best: 901.52 		N:5
Priddy         		Mean: 151.2 		Best: 901.52 		N:6
Henley         		Mean: 301.87 		Best: 901.52 		N:3
Mercado        		Mean: 181.25 		Best: 901.52 		N:5
Green          		Mean: 451.46 		Best: 901.52 		N:2

########## REPORT GEN: 68 ##########
SPECIES: 
