########## REPORT GEN: 2 ##########
SPECIES: 
Hillard        		Mean: 119.16 		Best: 938.56 		N:8
Harris         		Mean: 150.07 		Best: 900.23 		N:6

########## REPORT GEN: 36 ##########
SPECIES: 
Santana        		Mean: 76.33 		Best: 946.3 		N:12
Tice           		Mean: 113.06 		Best: 946.3 		N:8
Allen          		Mean: 91.2 		Best: 946.3 		N:10
Harris         		Mean: 130.41 		Best: 946.3 		N:7
Mccormick      		Mean: 91.21 		Best: 938.71 		N:10
Wilson         		Mean: 113.23 		Best: 937.76 		N:8
Anderson       		Mean: 184.45 		Best: 933.93 		N:5
Hope           		Mean: 183.15 		Best: 922.57 		N:5
Davis          		Mean: 228.39 		Best: 922.57 		N:4
Mcclain        		Mean: 112.16 		Best: 910.23 		N:8
Smith          		Mean: 178.86 		Best: 893.42 		N:5
Desrochers     		Mean: 296.55 		Best: 888.59 		N:3

########## REPORT GEN: 37 ##########
SPECIES: 
Tice           		Mean: 101.46 		Best: 946.3 		N:9
Allen          		Mean: 129.15 		Best: 946.3 		N:7
Mccormick      		Mean: 82.33 		Best: 946.3 		N:11
Desrochers     		Mean: 90.84 		Best: 946.3 		N:10
Harris         		Mean: 181.22 		Best: 938.71 		N:5
Smith          		Mean: 227.76 		Best: 937.76 		N:4
Davis          		Mean: 184.65 		Best: 933.93 		N:5
Wilson         		Mean: 90.35 		Best: 924.91 		N:10
Anderson       		Mean: 152.07 		Best: 923.46 		N:6
Hope           		Mean: 224.86 		Best: 922.57 		N:4
Mcclain        		Mean: 150.51 		Best: 922.57 		N:6
Santana        		Mean: 129.05 		Best: 905.39 		N:7

########## REPORT GEN: 38 ##########
SPECIES: 
Hope           		Mean: 112.67 		Best: 946.3 		N:8
Mcclain        		Mean: 90.91 		Best: 946.3 		N:10
Santana        		Mean: 155.2 		Best: 946.3 		N:6
Desrochers     		Mean: 181.86 		Best: 944.88 		N:5
Anderson       		Mean: 100.62 		Best: 938.71 		N:9
Smith          		Mean: 75.82 		Best: 933.93 		N:12
Tice           		Mean: 227.15 		Best: 931.94 		N:4
Allen          		Mean: 82.42 		Best: 924.91 		N:11
Harris         		Mean: 112.89 		Best: 923.46 		N:8
Davis          		Mean: 150.49 		Best: 921.99 		N:6
Mccormick      		Mean: 149.3 		Best: 907.54 		N:6
Wilson         		Mean: 298.55 		Best: 898.26 		N:3

########## REPORT GEN: 39 ##########
SPECIES: 
Anderson       		Mean: 114.32 		Best: 946.3 		N:8
Tice           		Mean: 113.83 		Best: 946.3 		N:8
Mccormick      		Mean: 183.75 		Best: 946.3 		N:5
Allen          		Mean: 101.08 		Best: 946.3 		N:9
Wilson         		Mean: 182.14 		Best: 946.3 		N:5
Desrochers     		Mean: 100.78 		Best: 944.88 		N:9
Smith          		Mean: 112.58 		Best: 941.32 		N:8
Santana        		Mean: 100.21 		Best: 923.46 		N:9
Harris         		Mean: 128.36 		Best: 909.23 		N:7
Mcclain        		Mean: 129.0 		Best: 913.66 		N:7
Davis          		Mean: 223.43 		Best: 898.26 		N:4
Hope           		Mean: 222.11 		Best: 888.15 		N:4

########## REPORT GEN: 40 ##########
SPECIES: 
Anderson       		Mean: 128.84 		Best: 946.3 		N:7
Desrochers     		Mean: 52.93 		Best: 946.3 		N:17
Harris         		Mean: 230.43 		Best: 946.3 		N:4
Davis          		Mean: 129.9 		Best: 946.3 		N:7
Hope           		Mean: 151.11 		Best: 946.3 		N:6
Smith          		Mean: 182.8 		Best: 946.3 		N:5
Santana        		Mean: 180.93 		Best: 946.3 		N:5
Allen          		Mean: 82.98 		Best: 941.32 		N:11
Tice           		Mean: 128.32 		Best: 930.49 		N:7
Mcclain        		Mean: 226.32 		Best: 923.46 		N:4
Mccormick      		Mean: 127.74 		Best: 910.51 		N:7
Wilson         		Mean: 223.43 		Best: 898.26 		N:4

########## REPORT GEN: 41 ##########
SPECIES: 
Anderson       		Mean: 100.12 		Best: 946.3 		N:9
Harris         		Mean: 155.06 		Best: 946.3 		N:6
Davis          		Mean: 101.46 		Best: 946.3 		N:9
Hope           		Mean: 75.27 		Best: 946.3 		N:12
Desrochers     		Mean: 69.52 		Best: 946.3 		N:13
Santana        		Mean: 114.88 		Best: 946.3 		N:8
Mcclain        		Mean: 151.31 		Best: 937.23 		N:6
Wilson         		Mean: 179.23 		Best: 917.68 		N:5
Allen          		Mean: 128.6 		Best: 915.36 		N:7
Tice           		Mean: 148.99 		Best: 905.84 		N:6
Mccormick      		Mean: 127.37 		Best: 899.7 		N:7
Smith          		Mean: 444.84 		Best: 892.9 		N:2

########## REPORT GEN: 42 ##########
SPECIES: 
Anderson       		Mean: 130.8 		Best: 946.3 		N:7
Mcclain        		Mean: 129.9 		Best: 946.3 		N:7
Wilson         		Mean: 228.17 		Best: 946.3 		N:4
Tice           		Mean: 132.87 		Best: 946.3 		N:7
Mccormick      		Mean: 114.25 		Best: 946.3 		N:8
Harris         		Mean: 90.89 		Best: 946.3 		N:10
Smith          		Mean: 180.5 		Best: 946.3 		N:5
Davis          		Mean: 111.92 		Best: 921.99 		N:8
Hope           		Mean: 179.34 		Best: 913.45 		N:5
Desrochers     		Mean: 148.91 		Best: 905.84 		N:6
Allen          		Mean: 111.04 		Best: 895.36 		N:8
Santana        		Mean: 221.81 		Best: 886.93 		N:4

########## REPORT GEN: 43 ##########
SPECIES: 
Anderson       		Mean: 90.29 		Best: 946.3 		N:10
Mccormick      		Mean: 152.14 		Best: 946.3 		N:6
Allen          		Mean: 92.14 		Best: 946.3 		N:10
Harris         		Mean: 129.8 		Best: 946.3 		N:7
Santana        		Mean: 151.96 		Best: 946.3 		N:6
Desrochers     		Mean: 112.6 		Best: 934.1 		N:8
Wilson         		Mean: 129.23 		Best: 921.99 		N:7
Hope           		Mean: 150.47 		Best: 921.99 		N:6
Mcclain        		Mean: 113.16 		Best: 917.68 		N:8
Smith          		Mean: 127.43 		Best: 898.26 		N:7
Tice           		Mean: 126.98 		Best: 891.54 		N:7
Davis          		Mean: 147.9 		Best: 886.93 		N:6

########## REPORT GEN: 44 ##########
SPECIES: 
Santana        		Mean: 113.4 		Best: 946.3 		N:8
Wilson         		Mean: 151.23 		Best: 946.3 		N:6
Hope           		Mean: 112.77 		Best: 946.3 		N:8
Mccormick      		Mean: 149.88 		Best: 946.3 		N:6
Desrochers     		Mean: 113.53 		Best: 946.3 		N:8
Davis          		Mean: 75.35 		Best: 929.02 		N:12
Tice           		Mean: 112.56 		Best: 917.68 		N:8
Smith          		Mean: 81.54 		Best: 916.67 		N:11
Anderson       		Mean: 111.61 		Best: 913.95 		N:8
Allen          		Mean: 111.25 		Best: 913.45 		N:8
Harris         		Mean: 298.89 		Best: 913.32 		N:3
Mcclain        		Mean: 128.66 		Best: 913.32 		N:7

########## REPORT GEN: 45 ##########
SPECIES: 
Desrochers     		Mean: 231.05 		Best: 946.3 		N:4
Davis          		Mean: 128.82 		Best: 946.3 		N:7
Anderson       		Mean: 100.58 		Best: 946.3 		N:9
Mcclain        		Mean: 69.68 		Best: 946.3 		N:13
Harris         		Mean: 128.46 		Best: 929.02 		N:7
Allen          		Mean: 112.78 		Best: 922.36 		N:8
Tice           		Mean: 127.68 		Best: 913.95 		N:7
Wilson         		Mean: 89.53 		Best: 913.84 		N:10
Hope           		Mean: 178.71 		Best: 912.69 		N:5
Smith          		Mean: 99.34 		Best: 910.66 		N:9
Santana        		Mean: 223.39 		Best: 905.99 		N:4
Mccormick      		Mean: 295.84 		Best: 890.93 		N:3

########## REPORT GEN: 46 ##########
SPECIES: 
Harris         		Mean: 227.9 		Best: 946.3 		N:4
Wilson         		Mean: 101.12 		Best: 946.3 		N:9
Hope           		Mean: 112.75 		Best: 932.54 		N:8
Mccormick      		Mean: 128.6 		Best: 932.54 		N:7
Allen          		Mean: 112.7 		Best: 929.02 		N:8
Desrochers     		Mean: 129.75 		Best: 922.36 		N:7
Tice           		Mean: 112.5 		Best: 920.16 		N:8
Davis          		Mean: 224.82 		Best: 914.45 		N:4
Santana        		Mean: 100.0 		Best: 913.95 		N:9
Anderson       		Mean: 99.35 		Best: 911.35 		N:9
Mcclain        		Mean: 178.69 		Best: 905.99 		N:5
Smith          		Mean: 442.75 		Best: 884.5 		N:2

########## REPORT GEN: 47 ##########
SPECIES: 
Hope           		Mean: 182.23 		Best: 946.3 		N:5
Mccormick      		Mean: 129.12 		Best: 932.54 		N:7
Tice           		Mean: 90.09 		Best: 932.54 		N:10
Allen          		Mean: 112.2 		Best: 929.02 		N:8
Harris         		Mean: 300.81 		Best: 922.36 		N:3
Desrochers     		Mean: 224.09 		Best: 920.16 		N:4
Smith          		Mean: 226.78 		Best: 914.45 		N:4
Wilson         		Mean: 178.5 		Best: 913.95 		N:5
Anderson       		Mean: 75.02 		Best: 911.35 		N:12
Santana        		Mean: 222.89 		Best: 909.23 		N:4
Mcclain        		Mean: 295.78 		Best: 886.93 		N:3
Davis          		Mean: 147.78 		Best: 886.59 		N:6

########## REPORT GEN: 48 ##########
SPECIES: 
Mccormick      		Mean: 129.99 		Best: 949.9 		N:7
Hope           		Mean: 131.62 		Best: 946.3 		N:7
Desrochers     		Mean: 151.04 		Best: 932.54 		N:6
Anderson       		Mean: 300.89 		Best: 932.54 		N:3
Santana        		Mean: 99.92 		Best: 929.02 		N:9
Allen          		Mean: 89.49 		Best: 922.36 		N:10
Tice           		Mean: 148.68 		Best: 920.16 		N:6
Davis          		Mean: 180.82 		Best: 920.16 		N:5
Smith          		Mean: 298.48 		Best: 914.45 		N:3
Wilson         		Mean: 99.2 		Best: 912.69 		N:9
Mcclain        		Mean: 111.16 		Best: 912.69 		N:8
Harris         		Mean: 148.58 		Best: 909.23 		N:6

########## REPORT GEN: 49 ##########
SPECIES: 
Wilson         		Mean: 183.7 		Best: 949.9 		N:5
Harris         		Mean: 128.71 		Best: 949.9 		N:7
Anderson       		Mean: 150.28 		Best: 932.54 		N:6
Davis          		Mean: 113.39 		Best: 932.54 		N:8
Tice           		Mean: 306.53 		Best: 929.02 		N:3
Mccormick      		Mean: 112.74 		Best: 922.36 		N:8
Allen          		Mean: 81.06 		Best: 921.65 		N:11
Hope           		Mean: 180.03 		Best: 920.16 		N:5
Mcclain        		Mean: 148.84 		Best: 920.16 		N:6
Desrochers     		Mean: 179.07 		Best: 914.45 		N:5
Santana        		Mean: 179.13 		Best: 914.45 		N:5
Smith          		Mean: 179.27 		Best: 913.84 		N:5

########## REPORT GEN: 50 ##########
SPECIES: 
Wilson         		Mean: 112.74 		Best: 949.9 		N:8
Allen          		Mean: 183.79 		Best: 949.9 		N:5
Santana        		Mean: 75.39 		Best: 949.9 		N:12
Tice           		Mean: 180.86 		Best: 932.54 		N:5
Anderson       		Mean: 82.27 		Best: 932.54 		N:11
Harris         		Mean: 180.67 		Best: 922.36 		N:5
Hope           		Mean: 99.32 		Best: 921.65 		N:9
Mccormick      		Mean: 149.83 		Best: 920.16 		N:6
Smith          		Mean: 127.95 		Best: 912.69 		N:7
Desrochers     		Mean: 112.23 		Best: 909.23 		N:8
Mcclain        		Mean: 126.56 		Best: 885.89 		N:7
Davis          		Mean: 221.17 		Best: 884.5 		N:4

########## REPORT GEN: 51 ##########
SPECIES: 
Allen          		Mean: 90.32 		Best: 949.9 		N:10
Harris         		Mean: 74.94 		Best: 949.9 		N:12
Mccormick      		Mean: 69.14 		Best: 949.9 		N:13
Anderson       		Mean: 149.84 		Best: 932.54 		N:6
Desrochers     		Mean: 100.48 		Best: 932.54 		N:9
Santana        		Mean: 111.28 		Best: 920.87 		N:8
Mcclain        		Mean: 129.34 		Best: 920.16 		N:7
Tice           		Mean: 149.82 		Best: 914.49 		N:6
Davis          		Mean: 89.15 		Best: 912.69 		N:10
Smith          		Mean: 178.95 		Best: 911.67 		N:5
Hope           		Mean: 295.19 		Best: 884.5 		N:3

########## REPORT GEN: 52 ##########
SPECIES: 
Harris         		Mean: 150.53 		Best: 949.9 		N:6
Tice           		Mean: 180.57 		Best: 949.9 		N:5
Davis          		Mean: 130.66 		Best: 949.9 		N:7
Desrochers     		Mean: 128.08 		Best: 929.02 		N:7
Mcclain        		Mean: 150.72 		Best: 920.87 		N:6
Wilson         		Mean: 128.41 		Best: 918.52 		N:7
Mccormick      		Mean: 456.79 		Best: 912.69 		N:2
Allen          		Mean: 150.38 		Best: 911.67 		N:6
Santana        		Mean: 180.14 		Best: 911.67 		N:5
Hope           		Mean: 179.06 		Best: 906.86 		N:5
Smith          		Mean: 177.35 		Best: 889.64 		N:5

########## REPORT GEN: 53 ##########
SPECIES: 
Mcclain        		Mean: 229.41 		Best: 949.9 		N:4
Wilson         		Mean: 227.76 		Best: 949.9 		N:4
Anderson       		Mean: 228.28 		Best: 949.9 		N:4
Desrochers     		Mean: 150.62 		Best: 929.02 		N:6
Davis          		Mean: 150.03 		Best: 920.87 		N:6
Tice           		Mean: 129.02 		Best: 918.52 		N:7
Santana        		Mean: 179.56 		Best: 912.69 		N:5
Smith          		Mean: 180.33 		Best: 912.69 		N:5
Hope           		Mean: 128.97 		Best: 911.67 		N:7
Mccormick      		Mean: 179.04 		Best: 906.29 		N:5
Harris         		Mean: 178.03 		Best: 905.0 		N:5

########## REPORT GEN: 54 ##########
SPECIES: 
Desrochers     		Mean: 153.16 		Best: 949.9 		N:6
Smith          		Mean: 113.14 		Best: 949.9 		N:8
Mccormick      		Mean: 129.97 		Best: 949.9 		N:7
Allen          		Mean: 181.8 		Best: 949.9 		N:5
Anderson       		Mean: 129.0 		Best: 929.02 		N:7
Harris         		Mean: 181.89 		Best: 923.37 		N:5
Wilson         		Mean: 129.52 		Best: 916.45 		N:7
Davis          		Mean: 224.98 		Best: 913.27 		N:4
Mcclain        		Mean: 149.52 		Best: 911.5 		N:6
Tice           		Mean: 224.06 		Best: 905.83 		N:4
Santana        		Mean: 297.58 		Best: 900.35 		N:3
Hope           		Mean: 295.36 		Best: 886.16 		N:3

########## REPORT GEN: 55 ##########
SPECIES: 
Anderson       		Mean: 182.1 		Best: 949.9 		N:5
Mcclain        		Mean: 113.01 		Best: 949.9 		N:8
Tice           		Mean: 185.29 		Best: 949.9 		N:5
Desrochers     		Mean: 152.58 		Best: 949.9 		N:6
Wilson         		Mean: 229.98 		Best: 934.62 		N:4
Hope           		Mean: 90.23 		Best: 921.2 		N:10
Mccormick      		Mean: 111.79 		Best: 921.2 		N:8
Davis          		Mean: 150.11 		Best: 921.06 		N:6
Santana        		Mean: 112.87 		Best: 920.99 		N:8
Allen          		Mean: 129.47 		Best: 916.45 		N:7
Smith          		Mean: 148.66 		Best: 912.96 		N:6
Harris         		Mean: 297.98 		Best: 905.32 		N:3

########## REPORT GEN: 56 ##########
SPECIES: 
Anderson       		Mean: 304.02 		Best: 949.9 		N:3
Mcclain        		Mean: 114.39 		Best: 949.9 		N:8
Wilson         		Mean: 64.73 		Best: 949.9 		N:14
Mccormick      		Mean: 152.16 		Best: 949.9 		N:6
Allen          		Mean: 153.95 		Best: 949.9 		N:6
Harris         		Mean: 183.55 		Best: 949.9 		N:5
Hope           		Mean: 70.19 		Best: 949.9 		N:13
Desrochers     		Mean: 181.11 		Best: 934.62 		N:5
Tice           		Mean: 129.94 		Best: 934.6 		N:7
Davis          		Mean: 89.92 		Best: 921.2 		N:10
Santana        		Mean: 455.71 		Best: 914.27 		N:2

########## REPORT GEN: 57 ##########
SPECIES: 
Anderson       		Mean: 460.63 		Best: 949.9 		N:2
Mcclain        		Mean: 100.87 		Best: 949.9 		N:9
Mccormick      		Mean: 83.14 		Best: 949.9 		N:11
Hope           		Mean: 129.88 		Best: 949.9 		N:7
Santana        		Mean: 182.85 		Best: 949.9 		N:5
Davis          		Mean: 228.5 		Best: 949.9 		N:4
Smith          		Mean: 179.82 		Best: 923.37 		N:5
Wilson         		Mean: 303.85 		Best: 917.52 		N:3
Desrochers     		Mean: 128.69 		Best: 912.69 		N:7
Tice           		Mean: 456.63 		Best: 912.51 		N:2
Harris         		Mean: 300.83 		Best: 912.46 		N:3
Allen          		Mean: 223.38 		Best: 900.35 		N:4

########## REPORT GEN: 58 ##########
SPECIES: 
Mcclain        		Mean: 230.13 		Best: 949.9 		N:4
Wilson         		Mean: 131.94 		Best: 949.9 		N:7
Allen          		Mean: 153.85 		Best: 949.9 		N:6
Smith          		Mean: 129.43 		Best: 923.37 		N:7
Desrochers     		Mean: 181.42 		Best: 923.25 		N:5
Harris         		Mean: 150.65 		Best: 914.43 		N:6
Mccormick      		Mean: 111.85 		Best: 914.38 		N:8
Davis          		Mean: 225.99 		Best: 912.7 		N:4
Tice           		Mean: 128.74 		Best: 912.46 		N:7
Anderson       		Mean: 223.3 		Best: 911.67 		N:4
Hope           		Mean: 449.25 		Best: 911.67 		N:2
Santana        		Mean: 177.88 		Best: 892.65 		N:5

########## REPORT GEN: 59 ##########
SPECIES: 
Davis          		Mean: 91.25 		Best: 949.9 		N:10
Hope           		Mean: 129.45 		Best: 949.9 		N:7
Santana        		Mean: 155.3 		Best: 949.9 		N:6
Tice           		Mean: 112.45 		Best: 923.37 		N:8
Harris         		Mean: 149.81 		Best: 923.25 		N:6
Desrochers     		Mean: 113.42 		Best: 920.41 		N:8
Allen          		Mean: 112.27 		Best: 914.53 		N:8
Anderson       		Mean: 226.48 		Best: 914.43 		N:4
Smith          		Mean: 180.32 		Best: 913.49 		N:5
Mcclain        		Mean: 225.06 		Best: 913.28 		N:4
Wilson         		Mean: 179.8 		Best: 911.67 		N:5
Mccormick      		Mean: 226.78 		Best: 911.67 		N:4

########## REPORT GEN: 60 ##########
SPECIES: 
Hope           		Mean: 153.22 		Best: 949.9 		N:6
Harris         		Mean: 101.17 		Best: 949.9 		N:9
Desrochers     		Mean: 151.44 		Best: 949.9 		N:6
Anderson       		Mean: 183.13 		Best: 949.9 		N:5
Wilson         		Mean: 112.55 		Best: 923.37 		N:8
Smith          		Mean: 149.98 		Best: 923.25 		N:6
Santana        		Mean: 129.45 		Best: 915.96 		N:7
Allen          		Mean: 75.17 		Best: 914.53 		N:12
Mcclain        		Mean: 127.42 		Best: 914.5 		N:7
Tice           		Mean: 100.56 		Best: 919.21 		N:9
Davis          		Mean: 113.69 		Best: 913.49 		N:8

########## REPORT GEN: 61 ##########
SPECIES: 
Harris         		Mean: 153.09 		Best: 949.9 		N:6
Anderson       		Mean: 130.77 		Best: 949.9 		N:7
Allen          		Mean: 152.48 		Best: 949.9 		N:6
Davis          		Mean: 113.17 		Best: 949.9 		N:8
Mcclain        		Mean: 129.82 		Best: 925.34 		N:7
Wilson         		Mean: 452.53 		Best: 923.37 		N:2
Hope           		Mean: 223.15 		Best: 914.53 		N:4
Desrochers     		Mean: 450.32 		Best: 914.5 		N:2
Smith          		Mean: 148.75 		Best: 914.16 		N:6
Tice           		Mean: 128.93 		Best: 914.03 		N:7
Santana        		Mean: 224.27 		Best: 911.67 		N:4

########## REPORT GEN: 62 ##########
SPECIES: 
Davis          		Mean: 183.83 		Best: 949.9 		N:5
Santana        		Mean: 182.92 		Best: 944.79 		N:5
Mcclain        		Mean: 152.73 		Best: 925.34 		N:6
Desrochers     		Mean: 301.05 		Best: 923.37 		N:3
Allen          		Mean: 113.59 		Best: 915.32 		N:8
Anderson       		Mean: 128.74 		Best: 914.53 		N:7
Hope           		Mean: 180.37 		Best: 914.53 		N:5
Smith          		Mean: 75.21 		Best: 914.5 		N:12
Wilson         		Mean: 148.87 		Best: 908.13 		N:6
Harris         		Mean: 299.58 		Best: 907.08 		N:3

########## REPORT GEN: 63 ##########
SPECIES: 
Davis          		Mean: 152.5 		Best: 949.9 		N:6
Allen          		Mean: 463.17 		Best: 949.9 		N:2
Anderson       		Mean: 130.16 		Best: 949.9 		N:7
Wilson         		Mean: 461.24 		Best: 949.9 		N:2
Harris         		Mean: 152.92 		Best: 949.9 		N:6
Desrochers     		Mean: 228.65 		Best: 944.79 		N:4
Santana        		Mean: 183.47 		Best: 925.34 		N:5
Tice           		Mean: 129.24 		Best: 923.37 		N:7
Smith          		Mean: 151.39 		Best: 915.32 		N:6
Hope           		Mean: 182.87 		Best: 914.5 		N:5
Mcclain        		Mean: 149.76 		Best: 911.67 		N:6

########## REPORT GEN: 64 ##########
SPECIES: 
Allen          		Mean: 101.9 		Best: 949.9 		N:9
Anderson       		Mean: 114.82 		Best: 949.9 		N:8
Wilson         		Mean: 232.01 		Best: 949.9 		N:4
Santana        		Mean: 91.6 		Best: 949.9 		N:10
Smith          		Mean: 151.51 		Best: 949.9 		N:6
Mcclain        		Mean: 154.02 		Best: 949.9 		N:6
Harris         		Mean: 230.31 		Best: 925.34 		N:4
Desrochers     		Mean: 299.44 		Best: 914.16 		N:3
Davis          		Mean: 300.51 		Best: 911.67 		N:3
Hope           		Mean: 224.38 		Best: 910.63 		N:4
Tice           		Mean: 128.61 		Best: 908.13 		N:7

########## REPORT GEN: 65 ##########
SPECIES: 
Allen          		Mean: 180.29 		Best: 949.9 		N:5
Anderson       		Mean: 90.77 		Best: 949.9 		N:10
Harris         		Mean: 153.21 		Best: 949.9 		N:6
Desrochers     		Mean: 182.43 		Best: 949.9 		N:5
Davis          		Mean: 466.69 		Best: 949.9 		N:2
Tice           		Mean: 102.05 		Best: 949.9 		N:9
Santana        		Mean: 151.99 		Best: 936.43 		N:6
Wilson         		Mean: 100.67 		Best: 925.34 		N:9
Mcclain        		Mean: 112.94 		Best: 923.37 		N:8
Hope           		Mean: 151.03 		Best: 911.67 		N:6
Smith          		Mean: 181.0 		Best: 910.63 		N:5

########## REPORT GEN: 66 ##########
SPECIES: 
Anderson       		Mean: 152.57 		Best: 949.9 		N:6
Desrochers     		Mean: 184.16 		Best: 949.9 		N:5
Tice           		Mean: 129.78 		Best: 949.9 		N:7
Santana        		Mean: 153.85 		Best: 949.9 		N:6
Mcclain        		Mean: 130.47 		Best: 949.9 		N:7
Smith          		Mean: 130.95 		Best: 949.9 		N:7
Harris         		Mean: 82.76 		Best: 936.43 		N:11
Davis          		Mean: 130.26 		Best: 926.92 		N:7
Allen          		Mean: 129.89 		Best: 923.37 		N:7
Wilson         		Mean: 226.4 		Best: 914.29 		N:4
Hope           		Mean: 100.33 		Best: 911.67 		N:9

########## REPORT GEN: 67 ##########
SPECIES: 
Santana        		Mean: 82.91 		Best: 949.9 		N:11
Mcclain        		Mean: 114.11 		Best: 949.9 		N:8
Davis          		Mean: 115.57 		Best: 949.9 		N:8
Allen          		Mean: 60.75 		Best: 949.9 		N:15
Anderson       		Mean: 153.43 		Best: 949.9 		N:6
Tice           		Mean: 91.41 		Best: 932.7 		N:10
Harris         		Mean: 151.46 		Best: 914.29 		N:6
Desrochers     		Mean: 129.51 		Best: 913.74 		N:7
Smith          		Mean: 149.22 		Best: 909.67 		N:6
Hope           		Mean: 180.87 		Best: 909.67 		N:5
Wilson         		Mean: 181.08 		Best: 908.71 		N:5

########## REPORT GEN: 68 ##########
SPECIES: 
Davis          		Mean: 184.21 		Best: 949.9 		N:5
Allen          		Mean: 229.95 		Best: 949.9 		N:4
Hope           		Mean: 75.54 		Best: 949.9 		N:12
Wilson         		Mean: 70.15 		Best: 949.9 		N:13
Anderson       		Mean: 76.0 		Best: 932.7 		N:12
Desrochers     		Mean: 149.56 		Best: 909.67 		N:6
Smith          		Mean: 112.34 		Best: 909.38 		N:8
Mcclain        		Mean: 81.83 		Best: 908.71 		N:11
Santana        		Mean: 100.29 		Best: 907.79 		N:9
Tice           		Mean: 126.94 		Best: 907.27 		N:7
Harris         		Mean: 128.89 		Best: 907.13 		N:7

########## REPORT GEN: 69 ##########
SPECIES: 
Allen          		Mean: 130.67 		Best: 949.9 		N:7
Smith          		Mean: 114.54 		Best: 949.9 		N:8
Santana        		Mean: 90.2 		Best: 949.9 		N:10
Tice           		Mean: 101.12 		Best: 949.9 		N:9
Hope           		Mean: 99.72 		Best: 932.7 		N:9
Wilson         		Mean: 226.75 		Best: 914.98 		N:4
Desrochers     		Mean: 113.18 		Best: 913.94 		N:8
Mcclain        		Mean: 89.89 		Best: 913.94 		N:10
Anderson       		Mean: 113.43 		Best: 912.27 		N:8
Harris         		Mean: 112.97 		Best: 911.67 		N:8
Davis          		Mean: 180.62 		Best: 907.27 		N:5

########## REPORT GEN: 70 ##########
SPECIES: 
Allen          		Mean: 150.91 		Best: 949.9 		N:6
Santana        		Mean: 101.26 		Best: 949.9 		N:9
Tice           		Mean: 91.34 		Best: 949.9 		N:10
Wilson         		Mean: 90.96 		Best: 949.9 		N:10
Desrochers     		Mean: 153.94 		Best: 949.9 		N:6
Anderson       		Mean: 101.07 		Best: 949.9 		N:9
Harris         		Mean: 100.18 		Best: 914.49 		N:9
Smith          		Mean: 128.97 		Best: 913.94 		N:7
Hope           		Mean: 112.91 		Best: 913.74 		N:8
Davis          		Mean: 150.29 		Best: 911.67 		N:6
Mcclain        		Mean: 150.41 		Best: 907.79 		N:6

########## REPORT GEN: 71 ##########
SPECIES: 
Allen          		Mean: 151.39 		Best: 949.9 		N:6
Santana        		Mean: 90.33 		Best: 949.9 		N:10
Harris         		Mean: 65.0 		Best: 949.9 		N:14
Smith          		Mean: 151.88 		Best: 949.9 		N:6
Hope           		Mean: 91.98 		Best: 949.9 		N:10
Anderson       		Mean: 69.89 		Best: 949.9 		N:13
Desrochers     		Mean: 75.6 		Best: 914.98 		N:12
Wilson         		Mean: 223.32 		Best: 914.48 		N:4
Mcclain        		Mean: 181.04 		Best: 913.94 		N:5
Tice           		Mean: 149.45 		Best: 907.79 		N:6
Davis          		Mean: 112.84 		Best: 908.72 		N:8

########## REPORT GEN: 72 ##########
SPECIES: 
Hope           		Mean: 130.76 		Best: 949.9 		N:7
Wilson         		Mean: 101.43 		Best: 949.9 		N:9
Davis          		Mean: 154.04 		Best: 949.9 		N:6
Harris         		Mean: 101.2 		Best: 949.9 		N:9
Anderson       		Mean: 151.46 		Best: 941.66 		N:6
Desrochers     		Mean: 113.83 		Best: 924.16 		N:8
Smith          		Mean: 113.42 		Best: 914.98 		N:8
Santana        		Mean: 75.04 		Best: 913.74 		N:12
Tice           		Mean: 81.98 		Best: 913.74 		N:11
Allen          		Mean: 304.58 		Best: 913.11 		N:3
Mcclain        		Mean: 89.5 		Best: 911.78 		N:10

########## REPORT GEN: 73 ##########
SPECIES: 
Harris         		Mean: 101.83 		Best: 949.9 		N:9
Anderson       		Mean: 182.51 		Best: 949.9 		N:5
Hope           		Mean: 101.57 		Best: 942.55 		N:9
Davis          		Mean: 182.81 		Best: 941.66 		N:5
Tice           		Mean: 112.85 		Best: 924.16 		N:8
Desrochers     		Mean: 181.31 		Best: 918.63 		N:5
Santana        		Mean: 151.47 		Best: 917.52 		N:6
Smith          		Mean: 90.45 		Best: 914.98 		N:10
Wilson         		Mean: 82.56 		Best: 914.58 		N:11
Mcclain        		Mean: 75.72 		Best: 913.74 		N:12
Allen          		Mean: 301.52 		Best: 907.0 		N:3

########## REPORT GEN: 74 ##########
SPECIES: 
Anderson       		Mean: 114.65 		Best: 949.9 		N:8
Hope           		Mean: 101.09 		Best: 949.9 		N:9
Harris         		Mean: 229.28 		Best: 942.55 		N:4
Smith          		Mean: 91.02 		Best: 927.36 		N:10
Davis          		Mean: 82.55 		Best: 921.37 		N:11
Allen          		Mean: 129.53 		Best: 917.78 		N:7
Mcclain        		Mean: 130.08 		Best: 914.38 		N:7
Tice           		Mean: 129.4 		Best: 913.74 		N:7
Wilson         		Mean: 150.78 		Best: 911.67 		N:6
Desrochers     		Mean: 150.88 		Best: 909.28 		N:6
Santana        		Mean: 179.31 		Best: 906.93 		N:5

########## REPORT GEN: 75 ##########
SPECIES: 
Harris         		Mean: 91.06 		Best: 949.9 		N:10
