########## REPORT GEN: 2 ##########
SPECIES: 
Jones          		Mean: 62.76 		Best: 950.66 		N:16
Jones          		Mean: 186.02 		Best: 960.38 		N:5
Gallardo       		Mean: 156.52 		Best: 960.38 		N:6
Jackson        		Mean: 310.8 		Best: 950.6 		N:3
Payne          		Mean: 187.21 		Best: 950.46 		N:5
Hopper         		Mean: 307.43 		Best: 937.84 		N:3
Dunlap         		Mean: 227.92 		Best: 927.79 		N:4
Mccartney      		Mean: 183.27 		Best: 924.12 		N:5
Copeland       		Mean: 455.08 		Best: 911.3 		N:2

########## REPORT GEN: 28 ##########
SPECIES: 
Meyers         		Mean: 135.44 		Best: 968.04 		N:7
Kimball        		Mean: 103.6 		Best: 968.04 		N:9
Jackson        		Mean: 310.05 		Best: 968.04 		N:3
Copeland       		Mean: 116.77 		Best: 968.04 		N:8
Fox            		Mean: 135.32 		Best: 968.04 		N:7
Dunlap         		Mean: 115.87 		Best: 967.95 		N:8
Schott         		Mean: 472.24 		Best: 963.06 		N:2
Jackson        		Mean: 102.8 		Best: 960.38 		N:9
Payne          		Mean: 116.26 		Best: 960.38 		N:8
Hopper         		Mean: 231.28 		Best: 960.38 		N:4
Mccartney      		Mean: 131.9 		Best: 953.35 		N:7
Ledesma        		Mean: 187.92 		Best: 952.67 		N:5
Ratcliff       		Mean: 102.87 		Best: 950.6 		N:9
Baylor         		Mean: 184.26 		Best: 927.79 		N:5
Jones          		Mean: 304.58 		Best: 911.3 		N:3
Hill           		Mean: 304.12 		Best: 910.22 		N:3
Gallardo       		Mean: 453.71 		Best: 903.76 		N:2

########## REPORT GEN: 29 ##########
SPECIES: 
Hopper         		Mean: 157.02 		Best: 973.39 		N:6
Kimball        		Mean: 235.23 		Best: 968.04 		N:4
Dunlap         		Mean: 231.5 		Best: 968.04 		N:4
Ledesma        		Mean: 117.66 		Best: 968.04 		N:8
Ratcliff       		Mean: 239.15 		Best: 968.04 		N:4
Baylor         		Mean: 310.07 		Best: 968.04 		N:3
Jones          		Mean: 183.4 		Best: 967.95 		N:5
Payne          		Mean: 93.09 		Best: 963.06 		N:10
Copeland       		Mean: 115.6 		Best: 960.38 		N:8
Fox            		Mean: 187.81 		Best: 960.38 		N:5
Meyers         		Mean: 132.18 		Best: 953.35 		N:7
Gallardo       		Mean: 115.19 		Best: 944.12 		N:8
Jackson        		Mean: 102.21 		Best: 942.94 		N:9
Hill           		Mean: 305.28 		Best: 914.57 		N:3
Fairbanks      		Mean: 130.15 		Best: 911.3 		N:7
Schott         		Mean: 302.99 		Best: 906.26 		N:3
Mccartney      		Mean: 453.8 		Best: 903.76 		N:2
Jackson        		Mean: 226.13 		Best: 902.12 		N:4

########## REPORT GEN: 30 ##########
SPECIES: 
Dunlap         		Mean: 133.97 		Best: 973.39 		N:7
Hopper         		Mean: 235.55 		Best: 968.04 		N:4
Payne          		Mean: 131.61 		Best: 968.04 		N:7
Fox            		Mean: 311.92 		Best: 968.04 		N:3
Meyers         		Mean: 186.02 		Best: 968.04 		N:5
Jones          		Mean: 155.67 		Best: 967.95 		N:6
Jackson        		Mean: 115.04 		Best: 967.95 		N:8
Mccartney      		Mean: 116.17 		Best: 967.95 		N:8
Copeland       		Mean: 309.85 		Best: 966.93 		N:3
Ratcliff       		Mean: 77.19 		Best: 960.38 		N:12
Hill           		Mean: 309.26 		Best: 960.38 		N:3
Jackson        		Mean: 467.22 		Best: 956.78 		N:2
Schott         		Mean: 153.64 		Best: 953.35 		N:6
Ledesma        		Mean: 113.85 		Best: 911.3 		N:8
Baylor         		Mean: 129.94 		Best: 910.22 		N:7
Fairbanks      		Mean: 302.97 		Best: 902.39 		N:3
Gallardo       		Mean: 453.34 		Best: 900.29 		N:2
Kimball        		Mean: 450.0 		Best: 899.1 		N:2

########## REPORT GEN: 31 ##########
SPECIES: 
Jackson        		Mean: 155.09 		Best: 973.39 		N:6
Fairbanks      		Mean: 185.4 		Best: 973.39 		N:5
Meyers         		Mean: 133.42 		Best: 968.04 		N:7
Jackson        		Mean: 131.85 		Best: 968.04 		N:7
Copeland       		Mean: 469.96 		Best: 968.04 		N:2
Schott         		Mean: 231.25 		Best: 968.04 		N:4
Baylor         		Mean: 309.83 		Best: 968.04 		N:3
Payne          		Mean: 235.63 		Best: 967.95 		N:4
Hill           		Mean: 114.54 		Best: 967.95 		N:8
Gallardo       		Mean: 471.13 		Best: 967.95 		N:2
Mccartney      		Mean: 229.53 		Best: 960.38 		N:4
Ratcliff       		Mean: 114.92 		Best: 956.78 		N:8
Kimball        		Mean: 184.19 		Best: 956.78 		N:5
Fox            		Mean: 231.0 		Best: 942.94 		N:4
Jones          		Mean: 181.52 		Best: 906.26 		N:5
Ledesma        		Mean: 453.26 		Best: 900.32 		N:2

########## REPORT GEN: 32 ##########
SPECIES: 
Hill           		Mean: 309.61 		Best: 973.39 		N:3
Ledesma        		Mean: 315.23 		Best: 973.39 		N:3
Fox            		Mean: 187.31 		Best: 968.04 		N:5
Jackson        		Mean: 310.26 		Best: 967.95 		N:3
Jones          		Mean: 308.32 		Best: 967.95 		N:3
Fairbanks      		Mean: 236.13 		Best: 960.38 		N:4
Payne          		Mean: 183.95 		Best: 960.38 		N:5
Gallardo       		Mean: 467.07 		Best: 956.78 		N:2
Schott         		Mean: 228.2 		Best: 909.24 		N:4
Mccartney      		Mean: 453.93 		Best: 907.82 		N:2
Ratcliff       		Mean: 226.32 		Best: 906.26 		N:4
Copeland       		Mean: 151.29 		Best: 902.76 		N:6
Kimball        		Mean: 453.55 		Best: 902.12 		N:2
Dunlap         		Mean: 226.23 		Best: 900.48 		N:4

########## REPORT GEN: 33 ##########
SPECIES: 
Schott         		Mean: 471.61 		Best: 973.39 		N:2
Ratcliff       		Mean: 309.37 		Best: 973.39 		N:3
Fairbanks      		Mean: 234.04 		Best: 967.95 		N:4
Copeland       		Mean: 230.91 		Best: 967.95 		N:4
Kimball        		Mean: 237.58 		Best: 967.95 		N:4
Fox            		Mean: 185.82 		Best: 960.38 		N:5
Payne          		Mean: 183.01 		Best: 944.42 		N:5
Jackson        		Mean: 303.47 		Best: 922.64 		N:3
Meyers         		Mean: 230.24 		Best: 922.64 		N:4
Gallardo       		Mean: 302.73 		Best: 907.82 		N:3
Dunlap         		Mean: 151.45 		Best: 907.82 		N:6
Ledesma        		Mean: 226.96 		Best: 902.12 		N:4
Mccartney      		Mean: 453.37 		Best: 900.48 		N:2
Baylor         		Mean: 451.99 		Best: 900.35 		N:2
Jones          		Mean: 448.08 		Best: 896.16 		N:2

########## REPORT GEN: 34 ##########
SPECIES: 
Ratcliff       		Mean: 133.51 		Best: 973.39 		N:7
Fox            		Mean: 187.59 		Best: 973.39 		N:5
Meyers         		Mean: 233.79 		Best: 973.39 		N:4
Kimball        		Mean: 469.22 		Best: 967.95 		N:2
Jackson        		Mean: 114.28 		Best: 958.63 		N:8
Gallardo       		Mean: 183.41 		Best: 955.86 		N:5
Hill           		Mean: 182.93 		Best: 952.67 		N:5
Jones          		Mean: 228.5 		Best: 951.56 		N:4
Schott         		Mean: 226.76 		Best: 910.22 		N:4
Jackson        		Mean: 452.39 		Best: 900.48 		N:2
Baylor         		Mean: 453.42 		Best: 900.48 		N:2
Ledesma        		Mean: 301.55 		Best: 900.35 		N:3
Payne          		Mean: 301.45 		Best: 900.34 		N:3
Fairbanks      		Mean: 452.32 		Best: 900.12 		N:2

########## REPORT GEN: 35 ##########
SPECIES: 
Fox            		Mean: 186.68 		Best: 973.39 		N:5
Kimball        		Mean: 186.75 		Best: 973.39 		N:5
Gallardo       		Mean: 183.88 		Best: 973.39 		N:5
Jones          		Mean: 133.21 		Best: 973.39 		N:7
Baylor         		Mean: 232.42 		Best: 973.39 		N:4
Payne          		Mean: 231.13 		Best: 973.39 		N:4
Fairbanks      		Mean: 230.53 		Best: 958.63 		N:4
Copeland       		Mean: 152.78 		Best: 953.23 		N:6
Mccartney      		Mean: 307.81 		Best: 953.23 		N:3
Hill           		Mean: 130.11 		Best: 950.74 		N:7
Ledesma        		Mean: 305.21 		Best: 934.33 		N:3
Jackson        		Mean: 456.38 		Best: 927.79 		N:2
Schott         		Mean: 228.22 		Best: 923.94 		N:4
Dunlap         		Mean: 226.92 		Best: 910.22 		N:4
Jackson        		Mean: 302.53 		Best: 907.82 		N:3

########## REPORT GEN: 36 ##########
SPECIES: 
Kimball        		Mean: 185.58 		Best: 973.39 		N:5
Jones          		Mean: 114.83 		Best: 973.39 		N:8
Payne          		Mean: 153.26 		Best: 973.39 		N:6
Mccartney      		Mean: 184.57 		Best: 973.39 		N:5
Hill           		Mean: 183.32 		Best: 973.39 		N:5
Dunlap         		Mean: 153.69 		Best: 973.39 		N:6
Meyers         		Mean: 188.34 		Best: 973.39 		N:5
Copeland       		Mean: 314.34 		Best: 958.63 		N:3
Fox            		Mean: 91.45 		Best: 953.23 		N:10
Baylor         		Mean: 228.02 		Best: 923.94 		N:4
Schott         		Mean: 113.4 		Best: 920.62 		N:8
Gallardo       		Mean: 225.49 		Best: 910.22 		N:4
Jackson        		Mean: 100.85 		Best: 907.82 		N:9
Ledesma        		Mean: 300.88 		Best: 900.34 		N:3
Fairbanks      		Mean: 150.65 		Best: 900.26 		N:6
Jackson        		Mean: 226.3 		Best: 900.26 		N:4

########## REPORT GEN: 37 ##########
SPECIES: 
Jones          		Mean: 230.05 		Best: 973.39 		N:4
Hill           		Mean: 153.04 		Best: 973.39 		N:6
Dunlap         		Mean: 132.53 		Best: 973.39 		N:7
Baylor         		Mean: 116.54 		Best: 973.39 		N:8
Schott         		Mean: 186.26 		Best: 973.39 		N:5
Jackson        		Mean: 153.07 		Best: 973.39 		N:6
Ledesma        		Mean: 234.19 		Best: 973.39 		N:4
Copeland       		Mean: 307.58 		Best: 958.63 		N:3
Kimball        		Mean: 184.21 		Best: 958.57 		N:5
Meyers         		Mean: 457.39 		Best: 923.94 		N:2
Fairbanks      		Mean: 113.7 		Best: 920.62 		N:8
Fox            		Mean: 100.52 		Best: 906.27 		N:9
Mccartney      		Mean: 224.88 		Best: 904.63 		N:4
Gallardo       		Mean: 129.15 		Best: 902.89 		N:7
Payne          		Mean: 451.16 		Best: 900.48 		N:2
Jackson        		Mean: 150.75 		Best: 900.39 		N:6

########## REPORT GEN: 38 ##########
SPECIES: 
Jones          		Mean: 115.46 		Best: 973.39 		N:8
Hill           		Mean: 183.15 		Best: 973.39 		N:5
Dunlap         		Mean: 113.93 		Best: 973.39 		N:8
Schott         		Mean: 131.4 		Best: 973.39 		N:7
Kimball        		Mean: 186.78 		Best: 973.39 		N:5
Fox            		Mean: 229.9 		Best: 973.39 		N:4
Gallardo       		Mean: 233.24 		Best: 973.39 		N:4
Jackson        		Mean: 183.0 		Best: 958.57 		N:5
Baylor         		Mean: 114.26 		Best: 946.96 		N:8
Meyers         		Mean: 182.89 		Best: 946.96 		N:5
Fairbanks      		Mean: 130.76 		Best: 946.96 		N:7
Jackson        		Mean: 227.78 		Best: 930.9 		N:4
Payne          		Mean: 151.81 		Best: 927.18 		N:6
Ledesma        		Mean: 181.24 		Best: 906.27 		N:5
Mccartney      		Mean: 179.95 		Best: 901.54 		N:5
Copeland       		Mean: 300.13 		Best: 901.27 		N:3

########## REPORT GEN: 39 ##########
SPECIES: 
Schott         		Mean: 155.54 		Best: 999.9 		N:6
Hill           		Mean: 158.07 		Best: 973.39 		N:6
Dunlap         		Mean: 183.23 		Best: 973.39 		N:5
Gallardo       		Mean: 152.71 		Best: 973.39 		N:6
Jackson        		Mean: 152.45 		Best: 973.39 		N:6
Ledesma        		Mean: 308.51 		Best: 973.39 		N:3
Mccartney      		Mean: 152.72 		Best: 973.39 		N:6
Copeland       		Mean: 185.03 		Best: 973.39 		N:5
Jones          		Mean: 231.23 		Best: 946.96 		N:4
Fairbanks      		Mean: 302.52 		Best: 923.81 		N:3
Meyers         		Mean: 129.61 		Best: 915.91 		N:7
Kimball        		Mean: 226.16 		Best: 906.27 		N:4
Fox            		Mean: 100.34 		Best: 906.27 		N:9
Payne          		Mean: 150.27 		Best: 906.27 		N:6
Jackson        		Mean: 128.85 		Best: 901.27 		N:7
Baylor         		Mean: 226.36 		Best: 903.61 		N:4

