########## REPORT GEN: 2 ##########
SPECIES: 
Welch          		Mean: 85.79 		Best: 911.79 		N:11
Hansen         		Mean: 101.07 		Best: 942.06 		N:9
Rudd           		Mean: 91.04 		Best: 939.09 		N:10
Wahlstrom      		Mean: 152.1 		Best: 928.65 		N:6
Young          		Mean: 152.22 		Best: 928.65 		N:6
Nichols        		Mean: 152.12 		Best: 924.48 		N:6
Bench          		Mean: 304.05 		Best: 914.3 		N:3
Rodriguez      		Mean: 82.5 		Best: 909.09 		N:11
Harvey         		Mean: 82.52 		Best: 909.09 		N:11
Johnson        		Mean: 129.89 		Best: 909.09 		N:7
Arnold         		Mean: 150.73 		Best: 908.78 		N:6
Rittenhouse    		Mean: 180.5 		Best: 901.22 		N:5
Peveler        		Mean: 450.44 		Best: 900.75 		N:2
Mullins        		Mean: 180.54 		Best: 900.28 		N:5
Mcquaid        		Mean: 128.94 		Best: 900.27 		N:7
Minor          		Mean: 180.57 		Best: 900.45 		N:5
Campbell       		Mean: 225.67 		Best: 900.29 		N:4
Jackson        		Mean: 150.47 		Best: 900.32 		N:6
Estes          		Mean: 150.44 		Best: 900.28 		N:6

########## REPORT GEN: 41 ##########
SPECIES: 
Bench          		Mean: 182.67 		Best: 942.42 		N:5
Rodriguez      		Mean: 70.4 		Best: 942.42 		N:13
Harvey         		Mean: 152.03 		Best: 942.06 		N:6
Jackson        		Mean: 114.34 		Best: 942.06 		N:8
Arnold         		Mean: 227.78 		Best: 939.09 		N:4
Spann          		Mean: 113.6 		Best: 931.59 		N:8
Johnson        		Mean: 228.75 		Best: 928.65 		N:4
Young          		Mean: 182.44 		Best: 924.48 		N:5
Rudd           		Mean: 302.73 		Best: 914.3 		N:3
Rittenhouse    		Mean: 151.11 		Best: 914.3 		N:6
Wahlstrom      		Mean: 70.15 		Best: 909.74 		N:13
Nichols        		Mean: 151.9 		Best: 909.09 		N:6
Aponte         		Mean: 150.69 		Best: 908.78 		N:6
Peveler        		Mean: 82.24 		Best: 908.78 		N:11
Estes          		Mean: 75.4 		Best: 900.38 		N:12
Mullins        		Mean: 60.19 		Best: 900.32 		N:15
Campbell       		Mean: 112.94 		Best: 900.38 		N:8
Minor          		Mean: 300.89 		Best: 900.27 		N:3
Mcquaid        		Mean: 180.54 		Best: 900.28 		N:5
Hansen         		Mean: 75.37 		Best: 900.39 		N:12

########## REPORT GEN: 42 ##########
SPECIES: 
Bench          		Mean: 229.14 		Best: 942.42 		N:4
Jackson        		Mean: 152.51 		Best: 942.42 		N:6
Spann          		Mean: 113.68 		Best: 942.42 		N:8
Aponte         		Mean: 115.11 		Best: 942.42 		N:8
Peveler        		Mean: 152.08 		Best: 942.42 		N:6
Harvey         		Mean: 229.08 		Best: 942.06 		N:4
Rittenhouse    		Mean: 182.23 		Best: 939.09 		N:5
Santiago       		Mean: 53.79 		Best: 939.09 		N:17
Rudd           		Mean: 129.69 		Best: 931.59 		N:7
Johnson        		Mean: 228.79 		Best: 928.65 		N:4
Young          		Mean: 101.61 		Best: 928.65 		N:9
Hansen         		Mean: 182.08 		Best: 927.08 		N:5
Rodriguez      		Mean: 151.64 		Best: 909.09 		N:6
Wahlstrom      		Mean: 301.57 		Best: 909.09 		N:3
Mullins        		Mean: 75.36 		Best: 900.52 		N:12
Minor          		Mean: 150.48 		Best: 900.4 		N:6
Nichols        		Mean: 225.58 		Best: 900.29 		N:4
Estes          		Mean: 90.38 		Best: 900.86 		N:10
Arnold         		Mean: 112.67 		Best: 900.94 		N:8
Campbell       		Mean: 300.32 		Best: 900.21 		N:3
Mcquaid        		Mean: 300.4 		Best: 900.23 		N:3

########## REPORT GEN: 43 ##########
SPECIES: 
Bench          		Mean: 114.75 		Best: 942.42 		N:8
Spann          		Mean: 101.42 		Best: 942.42 		N:9
Peveler        		Mean: 130.75 		Best: 942.42 		N:7
Rittenhouse    		Mean: 100.72 		Best: 942.42 		N:9
Rudd           		Mean: 101.59 		Best: 942.42 		N:9
Arnold         		Mean: 183.28 		Best: 942.42 		N:5
Jackson        		Mean: 130.94 		Best: 942.06 		N:7
Aponte         		Mean: 113.37 		Best: 939.09 		N:8
Hansen         		Mean: 83.05 		Best: 939.09 		N:11
Wahlstrom      		Mean: 114.04 		Best: 928.65 		N:8
Harvey         		Mean: 82.44 		Best: 927.08 		N:11
Rodriguez      		Mean: 305.13 		Best: 924.48 		N:3
Young          		Mean: 151.34 		Best: 909.96 		N:6
Santiago       		Mean: 130.05 		Best: 909.74 		N:7
Johnson        		Mean: 151.34 		Best: 909.09 		N:6
Estes          		Mean: 69.45 		Best: 900.45 		N:13
Mullins        		Mean: 450.59 		Best: 900.28 		N:2
Mcquaid        		Mean: 180.42 		Best: 900.28 		N:5
Nichols        		Mean: 100.36 		Best: 900.32 		N:9
Campbell       		Mean: 150.21 		Best: 900.25 		N:6
Minor          		Mean: 450.26 		Best: 900.15 		N:2

########## REPORT GEN: 44 ##########
SPECIES: 
Spann          		Mean: 113.93 		Best: 942.42 		N:8
Rittenhouse    		Mean: 152.41 		Best: 942.42 		N:6
Rudd           		Mean: 130.32 		Best: 942.42 		N:7
Arnold         		Mean: 131.68 		Best: 942.42 		N:7
Hansen         		Mean: 113.7 		Best: 942.06 		N:8
Aponte         		Mean: 152.43 		Best: 939.09 		N:6
Peveler        		Mean: 227.65 		Best: 931.59 		N:4
Bench          		Mean: 113.51 		Best: 930.16 		N:8
Wahlstrom      		Mean: 458.39 		Best: 928.65 		N:2
Wickliff       		Mean: 307.68 		Best: 927.08 		N:3
Johnson        		Mean: 151.75 		Best: 924.48 		N:6
Young          		Mean: 151.99 		Best: 924.48 		N:6
Harvey         		Mean: 113.53 		Best: 909.09 		N:8
Rodriguez      		Mean: 129.87 		Best: 909.09 		N:7
Mullins        		Mean: 150.47 		Best: 900.4 		N:6
Campbell       		Mean: 100.2 		Best: 900.38 		N:9
Nichols        		Mean: 112.85 		Best: 900.35 		N:8
Jackson        		Mean: 300.86 		Best: 900.28 		N:3
Estes          		Mean: 180.48 		Best: 900.28 		N:5
Santiago       		Mean: 300.46 		Best: 900.23 		N:3
Mcquaid        		Mean: 150.12 		Best: 900.2 		N:6
Minor          		Mean: 128.63 		Best: 900.22 		N:7

########## REPORT GEN: 45 ##########
SPECIES: 
Spann          		Mean: 182.23 		Best: 942.42 		N:5
Arnold         		Mean: 305.61 		Best: 942.42 		N:3
Aponte         		Mean: 130.75 		Best: 942.42 		N:7
Bench          		Mean: 113.64 		Best: 942.42 		N:8
Nichols        		Mean: 113.7 		Best: 942.06 		N:8
Jackson        		Mean: 53.6 		Best: 942.06 		N:17
Rudd           		Mean: 101.72 		Best: 939.09 		N:9
Santiago       		Mean: 114.93 		Best: 939.09 		N:8
Wickliff       		Mean: 304.85 		Best: 927.08 		N:3
Wahlstrom      		Mean: 91.34 		Best: 926.35 		N:10
Johnson        		Mean: 304.64 		Best: 924.48 		N:3
Harvey         		Mean: 227.02 		Best: 922.38 		N:4
Young          		Mean: 454.8 		Best: 909.09 		N:2
Rittenhouse    		Mean: 112.98 		Best: 908.72 		N:8
Peveler        		Mean: 225.28 		Best: 900.94 		N:4
Estes          		Mean: 112.74 		Best: 900.4 		N:8
Mullins        		Mean: 90.15 		Best: 900.28 		N:10
Mcquaid        		Mean: 225.53 		Best: 900.4 		N:4
Minor          		Mean: 150.16 		Best: 900.23 		N:6
Campbell       		Mean: 300.44 		Best: 900.18 		N:3
Hansen         		Mean: 180.28 		Best: 900.27 		N:5

########## REPORT GEN: 46 ##########
SPECIES: 
Rudd           		Mean: 91.09 		Best: 942.42 		N:10
Rittenhouse    		Mean: 114.89 		Best: 942.42 		N:8
Peveler        		Mean: 228.41 		Best: 942.42 		N:4
Wickliff       		Mean: 91.79 		Best: 942.06 		N:10
Hansen         		Mean: 183.29 		Best: 942.06 		N:5
Aponte         		Mean: 181.85 		Best: 939.09 		N:5
Bench          		Mean: 82.56 		Best: 939.09 		N:11
Harvey         		Mean: 152.57 		Best: 926.35 		N:6
Young          		Mean: 152.03 		Best: 924.48 		N:6
Johnson        		Mean: 303.46 		Best: 922.38 		N:3
Wahlstrom      		Mean: 129.61 		Best: 909.09 		N:7
Nichols        		Mean: 90.66 		Best: 902.32 		N:10
Spann          		Mean: 180.3 		Best: 900.94 		N:5
Arnold         		Mean: 450.34 		Best: 900.45 		N:2
Estes          		Mean: 225.55 		Best: 900.4 		N:4
Mullins        		Mean: 300.42 		Best: 900.4 		N:3
Jackson        		Mean: 100.46 		Best: 900.39 		N:9
Santiago       		Mean: 451.46 		Best: 900.28 		N:2
Campbell       		Mean: 90.27 		Best: 900.38 		N:10
Mcquaid        		Mean: 112.73 		Best: 900.4 		N:8
Minor          		Mean: 300.24 		Best: 900.22 		N:3

########## REPORT GEN: 47 ##########
SPECIES: 
Rudd           		Mean: 228.22 		Best: 942.42 		N:4
Aponte         		Mean: 101.29 		Best: 942.42 		N:9
Spann          		Mean: 75.75 		Best: 942.42 		N:12
Nichols        		Mean: 130.07 		Best: 942.06 		N:7
Campbell       		Mean: 152.7 		Best: 942.06 		N:6
Young          		Mean: 101.61 		Best: 929.35 		N:9
Wahlstrom      		Mean: 130.54 		Best: 926.35 		N:7
Harvey         		Mean: 129.77 		Best: 922.38 		N:7
Rittenhouse    		Mean: 225.67 		Best: 901.34 		N:4
Arnold         		Mean: 150.37 		Best: 901.34 		N:6
Peveler        		Mean: 300.35 		Best: 900.94 		N:3
Estes          		Mean: 150.41 		Best: 900.43 		N:6
Jackson        		Mean: 128.85 		Best: 900.4 		N:7
Wickliff       		Mean: 90.29 		Best: 900.28 		N:10
Hansen         		Mean: 225.84 		Best: 900.37 		N:4
Minor          		Mean: 225.61 		Best: 900.28 		N:4
Mcquaid        		Mean: 128.82 		Best: 900.22 		N:7
Mullins        		Mean: 180.25 		Best: 900.4 		N:5
Johnson        		Mean: 450.23 		Best: 900.17 		N:2
Bench          		Mean: 150.27 		Best: 900.29 		N:6
Santiago       		Mean: 300.48 		Best: 900.13 		N:3

########## REPORT GEN: 48 ##########
SPECIES: 
Aponte         		Mean: 130.69 		Best: 942.42 		N:7
Spann          		Mean: 182.33 		Best: 942.42 		N:5
Bench          		Mean: 100.85 		Best: 942.42 		N:9
Nichols        		Mean: 113.93 		Best: 942.06 		N:8
Santiago       		Mean: 101.11 		Best: 942.06 		N:9
Harvey         		Mean: 182.6 		Best: 929.35 		N:5
Hansen         		Mean: 182.07 		Best: 926.35 		N:5
Young          		Mean: 181.4 		Best: 907.9 		N:5
Wickliff       		Mean: 100.5 		Best: 903.42 		N:9
Johnson        		Mean: 129.34 		Best: 902.32 		N:7
Rittenhouse    		Mean: 100.23 		Best: 901.34 		N:9
Campbell       		Mean: 129.04 		Best: 900.43 		N:7
Mcquaid        		Mean: 90.24 		Best: 900.43 		N:10
Jackson        		Mean: 128.87 		Best: 900.4 		N:7
Mullins        		Mean: 150.4 		Best: 900.28 		N:6
Estes          		Mean: 112.64 		Best: 900.25 		N:8
Minor          		Mean: 180.13 		Best: 900.19 		N:5
Arnold         		Mean: 180.42 		Best: 900.87 		N:5
Rudd           		Mean: 150.42 		Best: 900.75 		N:6
Peveler        		Mean: 100.28 		Best: 900.94 		N:9

########## REPORT GEN: 49 ##########
SPECIES: 
Bench          		Mean: 100.86 		Best: 942.42 		N:9
Rittenhouse    		Mean: 75.55 		Best: 942.42 		N:12
Young          		Mean: 75.58 		Best: 942.06 		N:12
Wickliff       		Mean: 82.51 		Best: 942.06 		N:11
Spann          		Mean: 113.35 		Best: 928.97 		N:8
Nichols        		Mean: 56.86 		Best: 926.35 		N:16
Hansen         		Mean: 152.05 		Best: 926.35 		N:6
Harvey         		Mean: 226.77 		Best: 903.42 		N:4
Campbell       		Mean: 129.52 		Best: 903.42 		N:7
Aponte         		Mean: 128.99 		Best: 901.34 		N:7
Peveler        		Mean: 112.77 		Best: 900.87 		N:8
Mullins        		Mean: 112.85 		Best: 900.4 		N:8
Jackson        		Mean: 90.11 		Best: 900.37 		N:10
Estes          		Mean: 112.93 		Best: 900.43 		N:8
Johnson        		Mean: 129.16 		Best: 900.37 		N:7
Mcquaid        		Mean: 112.65 		Best: 900.26 		N:8
Rudd           		Mean: 128.77 		Best: 900.45 		N:7
Minor          		Mean: 90.13 		Best: 900.26 		N:10
Santiago       		Mean: 128.82 		Best: 900.22 		N:7
Arnold         		Mean: 90.31 		Best: 900.29 		N:10

########## REPORT GEN: 50 ##########
SPECIES: 
Bench          		Mean: 129.83 		Best: 942.42 		N:7
Rudd           		Mean: 82.42 		Best: 942.42 		N:11
Arnold         		Mean: 64.75 		Best: 942.42 		N:14
Wickliff       		Mean: 182.49 		Best: 942.06 		N:5
Johnson        		Mean: 60.51 		Best: 942.06 		N:15
Peveler        		Mean: 64.68 		Best: 928.97 		N:14
Young          		Mean: 91.22 		Best: 926.35 		N:10
Harvey         		Mean: 70.0 		Best: 926.35 		N:13
Santiago       		Mean: 64.63 		Best: 926.35 		N:14
Campbell       		Mean: 151.34 		Best: 910.18 		N:6
Nichols        		Mean: 226.25 		Best: 903.87 		N:4
Hansen         		Mean: 150.8 		Best: 902.32 		N:6
Rittenhouse    		Mean: 112.88 		Best: 901.34 		N:8
Minor          		Mean: 100.22 		Best: 900.4 		N:9
Jackson        		Mean: 90.14 		Best: 900.37 		N:10
Mullins        		Mean: 82.18 		Best: 900.86 		N:11
Mcquaid        		Mean: 64.48 		Best: 900.39 		N:14
Estes          		Mean: 300.36 		Best: 900.26 		N:3
Aponte         		Mean: 180.51 		Best: 900.2 		N:5
Spann          		Mean: 150.5 		Best: 901.3 		N:6

########## REPORT GEN: 51 ##########
SPECIES: 
Wickliff       		Mean: 64.85 		Best: 942.42 		N:14
Peveler        		Mean: 305.23 		Best: 942.42 		N:3
Spann          		Mean: 82.43 		Best: 942.42 		N:11
Young          		Mean: 130.08 		Best: 942.06 		N:7
Harvey         		Mean: 131.75 		Best: 942.06 		N:7
Aponte         		Mean: 75.53 		Best: 928.97 		N:12
Johnson        		Mean: 65.14 		Best: 926.35 		N:14
Campbell       		Mean: 182.33 		Best: 926.35 		N:5
Bench          		Mean: 112.97 		Best: 902.51 		N:8
Santiago       		Mean: 129.2 		Best: 900.66 		N:7
Mullins        		Mean: 300.86 		Best: 900.4 		N:3
Jackson        		Mean: 81.93 		Best: 900.37 		N:11
Hansen         		Mean: 75.46 		Best: 900.44 		N:12
Minor          		Mean: 150.33 		Best: 900.28 		N:6
Rudd           		Mean: 150.5 		Best: 900.27 		N:6
Nichols        		Mean: 82.05 		Best: 900.29 		N:11
Estes          		Mean: 150.26 		Best: 900.27 		N:6
Mcquaid        		Mean: 180.3 		Best: 900.19 		N:5
Arnold         		Mean: 90.31 		Best: 900.45 		N:10
Rittenhouse    		Mean: 128.91 		Best: 900.22 		N:7

########## REPORT GEN: 52 ##########
SPECIES: 
Spann          		Mean: 75.52 		Best: 942.42 		N:12
Bench          		Mean: 114.18 		Best: 942.42 		N:8
Santiago       		Mean: 100.96 		Best: 942.06 		N:9
Nichols        		Mean: 153.14 		Best: 942.06 		N:6
Young          		Mean: 114.23 		Best: 928.97 		N:8
Johnson        		Mean: 130.93 		Best: 926.35 		N:7
Rudd           		Mean: 129.23 		Best: 909.94 		N:7
Harvey         		Mean: 113.09 		Best: 900.66 		N:8
Mcquaid        		Mean: 81.95 		Best: 900.49 		N:11
Estes          		Mean: 128.88 		Best: 900.4 		N:7
Campbell       		Mean: 112.82 		Best: 900.34 		N:8
Arnold         		Mean: 180.7 		Best: 900.32 		N:5
Mullins        		Mean: 180.65 		Best: 900.39 		N:5
Wickliff       		Mean: 112.8 		Best: 900.3 		N:8
Minor          		Mean: 75.21 		Best: 900.28 		N:12
Hansen         		Mean: 225.65 		Best: 900.24 		N:4
Jackson        		Mean: 81.97 		Best: 900.83 		N:11
Peveler        		Mean: 112.86 		Best: 900.45 		N:8
Rittenhouse    		Mean: 112.84 		Best: 900.45 		N:8
Aponte         		Mean: 128.97 		Best: 900.2 		N:7

########## REPORT GEN: 53 ##########
SPECIES: 
Rudd           		Mean: 82.24 		Best: 942.42 		N:11
Rittenhouse    		Mean: 69.92 		Best: 942.42 		N:13
Harvey         		Mean: 50.45 		Best: 942.06 		N:18
Wickliff       		Mean: 90.74 		Best: 942.06 		N:10
Young          		Mean: 305.45 		Best: 926.35 		N:3
Aponte         		Mean: 100.48 		Best: 909.94 		N:9
Peveler        		Mean: 150.48 		Best: 904.8 		N:6
Arnold         		Mean: 100.28 		Best: 903.91 		N:9
Minor          		Mean: 112.71 		Best: 900.78 		N:8
Campbell       		Mean: 53.12 		Best: 900.66 		N:17
Santiago       		Mean: 82.14 		Best: 900.42 		N:11
Mullins        		Mean: 180.72 		Best: 900.4 		N:5
Johnson        		Mean: 451.2 		Best: 900.3 		N:2
Jackson        		Mean: 128.88 		Best: 900.28 		N:7
Bench          		Mean: 300.89 		Best: 900.27 		N:3
Mcquaid        		Mean: 128.78 		Best: 900.25 		N:7
Spann          		Mean: 69.46 		Best: 900.22 		N:13
Estes          		Mean: 180.2 		Best: 900.2 		N:5
Hansen         		Mean: 69.38 		Best: 900.32 		N:13
Nichols        		Mean: 180.29 		Best: 900.2 		N:5

########## REPORT GEN: 54 ##########
SPECIES: 
Rittenhouse    		Mean: 90.89 		Best: 942.42 		N:10
Aponte         		Mean: 151.51 		Best: 942.42 		N:6
Spann          		Mean: 129.87 		Best: 942.42 		N:7
Campbell       		Mean: 90.78 		Best: 942.06 		N:10
Nichols        		Mean: 100.94 		Best: 942.06 		N:9
Grady          		Mean: 308.08 		Best: 934.58 		N:3
Young          		Mean: 101.37 		Best: 926.35 		N:9
Bench          		Mean: 150.43 		Best: 904.8 		N:6
Mcquaid        		Mean: 112.7 		Best: 900.86 		N:8
Mullins        		Mean: 181.19 		Best: 900.66 		N:5
Minor          		Mean: 75.17 		Best: 900.42 		N:12
Harvey         		Mean: 300.96 		Best: 900.3 		N:3
Jackson        		Mean: 128.88 		Best: 900.28 		N:7
Arnold         		Mean: 128.83 		Best: 900.91 		N:7
Rudd           		Mean: 225.82 		Best: 900.22 		N:4
Hansen         		Mean: 128.87 		Best: 900.21 		N:7
Estes          		Mean: 81.98 		Best: 900.25 		N:11
Wickliff       		Mean: 300.23 		Best: 900.18 		N:3
Johnson        		Mean: 90.56 		Best: 900.3 		N:10
Peveler        		Mean: 150.02 		Best: 899.94 		N:6

########## REPORT GEN: 55 ##########
SPECIES: 
Spann          		Mean: 151.6 		Best: 942.42 		N:6
Campbell       		Mean: 130.57 		Best: 942.42 		N:7
Nichols        		Mean: 91.0 		Best: 942.42 		N:10
Arnold         		Mean: 113.54 		Best: 942.42 		N:8
Hansen         		Mean: 130.83 		Best: 942.06 		N:7
Grady          		Mean: 310.18 		Best: 934.58 		N:3
Santiago       		Mean: 151.68 		Best: 926.67 		N:6
Johnson        		Mean: 130.19 		Best: 923.3 		N:7
Aponte         		Mean: 180.58 		Best: 902.89 		N:5
Young          		Mean: 180.34 		Best: 900.53 		N:5
Jackson        		Mean: 129.0 		Best: 900.42 		N:7
Minor          		Mean: 75.22 		Best: 900.86 		N:12
Estes          		Mean: 225.92 		Best: 900.3 		N:4
Mcquaid        		Mean: 450.72 		Best: 900.24 		N:2
Rudd           		Mean: 300.9 		Best: 900.22 		N:3
Bench          		Mean: 82.03 		Best: 900.21 		N:11
Wickliff       		Mean: 225.19 		Best: 900.18 		N:4
Rittenhouse    		Mean: 180.49 		Best: 900.17 		N:5
Peveler        		Mean: 150.22 		Best: 900.15 		N:6
Mullins        		Mean: 450.27 		Best: 900.1 		N:2
Harvey         		Mean: 300.69 		Best: 900.17 		N:3

########## REPORT GEN: 56 ##########
SPECIES: 
Arnold         		Mean: 100.73 		Best: 942.42 		N:9
Young          		Mean: 129.91 		Best: 942.42 		N:7
Rudd           		Mean: 75.55 		Best: 942.42 		N:12
Harvey         		Mean: 306.06 		Best: 942.42 		N:3
Santiago       		Mean: 65.07 		Best: 942.06 		N:14
Grady          		Mean: 154.77 		Best: 934.58 		N:6
Spann          		Mean: 225.75 		Best: 902.89 		N:4
Campbell       		Mean: 129.06 		Best: 900.66 		N:7
Mullins        		Mean: 100.2 		Best: 900.53 		N:9
Mcquaid        		Mean: 180.53 		Best: 900.42 		N:5
Johnson        		Mean: 150.44 		Best: 900.3 		N:6
Wickliff       		Mean: 128.83 		Best: 900.3 		N:7
Estes          		Mean: 225.73 		Best: 900.28 		N:4
Aponte         		Mean: 225.53 		Best: 900.27 		N:4
Minor          		Mean: 300.16 		Best: 900.26 		N:3
Rittenhouse    		Mean: 150.42 		Best: 900.22 		N:6
Nichols        		Mean: 300.42 		Best: 900.19 		N:3
Bench          		Mean: 112.81 		Best: 900.17 		N:8
Hansen         		Mean: 128.76 		Best: 900.15 		N:7
Jackson        		Mean: 180.78 		Best: 900.19 		N:5
Peveler        		Mean: 180.33 		Best: 900.12 		N:5

########## REPORT GEN: 57 ##########
SPECIES: 
Rudd           		Mean: 90.62 		Best: 942.42 		N:10
Spann          		Mean: 113.3 		Best: 942.42 		N:8
Aponte         		Mean: 113.44 		Best: 942.42 		N:8
Bench          		Mean: 91.03 		Best: 942.42 		N:10
Santiago       		Mean: 151.78 		Best: 942.06 		N:6
Grady          		Mean: 185.76 		Best: 934.58 		N:5
Hansen         		Mean: 82.77 		Best: 923.78 		N:11
Arnold         		Mean: 180.69 		Best: 902.8 		N:5
Rittenhouse    		Mean: 150.07 		Best: 900.68 		N:6
Wickliff       		Mean: 100.4 		Best: 900.66 		N:9
Johnson        		Mean: 112.8 		Best: 900.56 		N:8
Young          		Mean: 180.4 		Best: 900.53 		N:5
Estes          		Mean: 150.29 		Best: 900.34 		N:6
Jackson        		Mean: 100.26 		Best: 900.29 		N:9
Mcquaid        		Mean: 150.25 		Best: 900.25 		N:6
Campbell       		Mean: 128.76 		Best: 900.15 		N:7
Mullins        		Mean: 180.35 		Best: 900.15 		N:5
Minor          		Mean: 129.11 		Best: 901.01 		N:7
Nichols        		Mean: 90.17 		Best: 900.27 		N:10
Harvey         		Mean: 180.15 		Best: 900.19 		N:5
Peveler        		Mean: 128.59 		Best: 899.5 		N:7

########## REPORT GEN: 58 ##########
SPECIES: 
Rudd           		Mean: 151.56 		Best: 942.42 		N:6
Hansen         		Mean: 115.29 		Best: 942.42 		N:8
Estes          		Mean: 113.59 		Best: 942.42 		N:8
Campbell       		Mean: 75.72 		Best: 942.42 		N:12
Mullins        		Mean: 228.59 		Best: 942.06 		N:4
Grady          		Mean: 132.1 		Best: 934.58 		N:7
Arnold         		Mean: 226.81 		Best: 928.54 		N:4
Jackson        		Mean: 82.26 		Best: 921.95 		N:11
Peveler        		Mean: 100.25 		Best: 906.17 		N:9
Aponte         		Mean: 69.28 		Best: 902.8 		N:13
Santiago       		Mean: 100.18 		Best: 900.53 		N:9
Johnson        		Mean: 112.76 		Best: 900.65 		N:8
Bench          		Mean: 150.06 		Best: 900.36 		N:6
Harvey         		Mean: 90.18 		Best: 900.3 		N:10
Rittenhouse    		Mean: 112.73 		Best: 902.8 		N:8
Nichols        		Mean: 112.75 		Best: 900.25 		N:8
Young          		Mean: 90.16 		Best: 900.41 		N:10
Mcquaid        		Mean: 129.21 		Best: 900.34 		N:7
Minor          		Mean: 90.34 		Best: 901.01 		N:10
Spann          		Mean: 69.59 		Best: 903.43 		N:13
Wickliff       		Mean: 150.16 		Best: 900.09 		N:6

########## REPORT GEN: 59 ##########
SPECIES: 
Arnold         		Mean: 130.76 		Best: 942.42 		N:7
Jackson        		Mean: 151.74 		Best: 942.42 		N:6
Bench          		Mean: 151.67 		Best: 942.42 		N:6
Harvey         		Mean: 184.06 		Best: 942.42 		N:5
Minor          		Mean: 91.02 		Best: 942.42 		N:10
Grady          		Mean: 231.23 		Best: 942.06 		N:4
Young          		Mean: 113.73 		Best: 924.26 		N:8
Rudd           		Mean: 100.57 		Best: 923.35 		N:9
Peveler        		Mean: 128.99 		Best: 906.17 		N:7
Rittenhouse    		Mean: 225.84 		Best: 904.1 		N:4
Aponte         		Mean: 128.63 		Best: 900.93 		N:7
Santiago       		Mean: 226.01 		Best: 900.66 		N:4
Estes          		Mean: 180.39 		Best: 900.65 		N:5
Nichols        		Mean: 180.39 		Best: 900.56 		N:5
Mullins        		Mean: 112.77 		Best: 900.53 		N:8
Wallace        		Mean: 451.18 		Best: 900.3 		N:2
Mcquaid        		Mean: 100.29 		Best: 900.39 		N:9
Hansen         		Mean: 112.72 		Best: 900.34 		N:8
Campbell       		Mean: 150.15 		Best: 900.11 		N:6
Wickliff       		Mean: 128.71 		Best: 900.1 		N:7
Spann          		Mean: 128.63 		Best: 899.83 		N:7

########## REPORT GEN: 60 ##########
SPECIES: 
Jackson        		Mean: 130.9 		Best: 942.42 		N:7
Rudd           		Mean: 151.66 		Best: 942.42 		N:6
Rittenhouse    		Mean: 151.34 		Best: 942.42 		N:6
Nichols        		Mean: 100.94 		Best: 942.42 		N:9
Mullins        		Mean: 129.91 		Best: 942.42 		N:7
Campbell       		Mean: 152.07 		Best: 942.42 		N:6
Grady          		Mean: 114.68 		Best: 942.06 		N:8
Harvey         		Mean: 75.69 		Best: 929.23 		N:12
Santiago       		Mean: 129.58 		Best: 924.26 		N:7
Spann          		Mean: 112.97 		Best: 923.35 		N:8
Peveler        		Mean: 225.53 		Best: 906.17 		N:4
Bench          		Mean: 180.21 		Best: 903.02 		N:5
Arnold         		Mean: 180.43 		Best: 901.05 		N:5
Wallace        		Mean: 180.86 		Best: 900.66 		N:5
Estes          		Mean: 180.33 		Best: 900.65 		N:5
Young          		Mean: 150.33 		Best: 900.56 		N:6
Hansen         		Mean: 128.9 		Best: 900.53 		N:7
Johnson        		Mean: 150.6 		Best: 900.3 		N:6
Minor          		Mean: 180.4 		Best: 900.19 		N:5
Mcquaid        		Mean: 300.43 		Best: 900.14 		N:3
Wickliff       		Mean: 300.3 		Best: 900.17 		N:3

########## REPORT GEN: 61 ##########
SPECIES: 
Campbell       		Mean: 90.96 		Best: 942.42 		N:10
Spann          		Mean: 129.57 		Best: 942.42 		N:7
Peveler        		Mean: 183.95 		Best: 942.42 		N:5
Arnold         		Mean: 228.09 		Best: 942.42 		N:4
Estes          		Mean: 184.32 		Best: 942.42 		N:5
Minor          		Mean: 113.54 		Best: 942.42 		N:8
Aponte         		Mean: 113.62 		Best: 942.42 		N:8
Nichols        		Mean: 151.75 		Best: 942.06 		N:6
Grady          		Mean: 457.92 		Best: 929.63 		N:2
Rudd           		Mean: 150.9 		Best: 929.23 		N:6
Santiago       		Mean: 113.49 		Best: 924.26 		N:8
Harvey         		Mean: 90.3 		Best: 923.35 		N:10
Rittenhouse    		Mean: 225.63 		Best: 906.17 		N:4
Hansen         		Mean: 150.68 		Best: 903.91 		N:6
Mullins        		Mean: 90.32 		Best: 900.66 		N:10
Jackson        		Mean: 150.24 		Best: 900.65 		N:6
Johnson        		Mean: 180.54 		Best: 900.36 		N:5
Mcquaid        		Mean: 129.07 		Best: 900.23 		N:7
Wickliff       		Mean: 100.18 		Best: 900.15 		N:9
Wallace        		Mean: 180.14 		Best: 900.09 		N:5
Young          		Mean: 180.32 		Best: 900.1 		N:5
Bench          		Mean: 225.05 		Best: 899.98 		N:4

########## REPORT GEN: 62 ##########
SPECIES: 
Spann          		Mean: 90.95 		Best: 942.42 		N:10
Peveler        		Mean: 65.0 		Best: 942.42 		N:14
Estes          		Mean: 50.57 		Best: 942.42 		N:18
Minor          		Mean: 151.99 		Best: 942.42 		N:6
Aponte         		Mean: 151.42 		Best: 942.42 		N:6
Nichols        		Mean: 462.46 		Best: 942.42 		N:2
Rudd           		Mean: 101.32 		Best: 942.42 		N:9
