########## REPORT GEN: 2 ##########
SPECIES: 
Rodriguez      		Mean: 160.97 		Best: 932.88 		N:6
Morton         		Mean: 156.35 		Best: 960.48 		N:6
Solis          		Mean: 118.59 		Best: 960.48 		N:8
Cook           		Mean: 235.86 		Best: 952.31 		N:4
Foster         		Mean: 116.97 		Best: 948.6 		N:8
Hendley        		Mean: 231.93 		Best: 923.89 		N:4

########## REPORT GEN: 33 ##########
SPECIES: 
Brown          		Mean: 136.28 		Best: 968.49 		N:7
Hendley        		Mean: 104.95 		Best: 968.49 		N:9
Bass           		Mean: 118.72 		Best: 968.35 		N:8
Solis          		Mean: 135.17 		Best: 968.35 		N:7
Rodriguez      		Mean: 157.38 		Best: 968.24 		N:6
Mack           		Mean: 106.9 		Best: 968.35 		N:9
Cunningham     		Mean: 156.59 		Best: 967.02 		N:6
Foster         		Mean: 133.63 		Best: 966.68 		N:7
Cook           		Mean: 103.83 		Best: 960.48 		N:9
Brown          		Mean: 117.46 		Best: 959.67 		N:8
Good           		Mean: 94.17 		Best: 953.77 		N:10
Morton         		Mean: 191.1 		Best: 953.66 		N:5
Fields         		Mean: 187.91 		Best: 948.6 		N:5
Sallade        		Mean: 229.81 		Best: 913.66 		N:4

########## REPORT GEN: 34 ##########
SPECIES: 
Rodriguez      		Mean: 135.65 		Best: 968.49 		N:7
Mack           		Mean: 119.13 		Best: 968.49 		N:8
Good           		Mean: 94.08 		Best: 968.35 		N:10
Sallade        		Mean: 87.15 		Best: 968.35 		N:11
Brown          		Mean: 238.41 		Best: 968.24 		N:4
Cook           		Mean: 119.81 		Best: 961.01 		N:8
Bass           		Mean: 93.92 		Best: 960.48 		N:10
Fields         		Mean: 105.46 		Best: 959.67 		N:9
Morton         		Mean: 156.79 		Best: 953.77 		N:6
Brown          		Mean: 235.24 		Best: 953.66 		N:4
Solis          		Mean: 118.12 		Best: 951.95 		N:8
Foster         		Mean: 133.43 		Best: 951.95 		N:7
Cunningham     		Mean: 187.92 		Best: 948.6 		N:5
Hendley        		Mean: 310.95 		Best: 935.4 		N:3

########## REPORT GEN: 35 ##########
SPECIES: 
Solis          		Mean: 106.19 		Best: 968.49 		N:9
Hendley        		Mean: 96.38 		Best: 968.49 		N:10
Cook           		Mean: 105.83 		Best: 968.35 		N:9
Morton         		Mean: 137.93 		Best: 968.24 		N:7
Bass           		Mean: 78.1 		Best: 967.02 		N:12
Rodriguez      		Mean: 136.93 		Best: 966.68 		N:7
Good           		Mean: 117.71 		Best: 960.48 		N:8
Brown          		Mean: 105.23 		Best: 961.25 		N:9
Fields         		Mean: 134.6 		Best: 953.77 		N:7
Cunningham     		Mean: 186.48 		Best: 951.95 		N:5
Sallade        		Mean: 234.01 		Best: 946.64 		N:4
Mack           		Mean: 187.48 		Best: 945.06 		N:5
Brown          		Mean: 187.04 		Best: 940.52 		N:5
Foster         		Mean: 309.38 		Best: 935.15 		N:3

########## REPORT GEN: 36 ##########
SPECIES: 
Bass           		Mean: 104.81 		Best: 968.49 		N:9
Rodriguez      		Mean: 192.71 		Best: 968.35 		N:5
Brown          		Mean: 79.1 		Best: 968.35 		N:12
Hendley        		Mean: 106.36 		Best: 968.24 		N:9
Cunningham     		Mean: 106.29 		Best: 968.49 		N:9
Sallade        		Mean: 233.3 		Best: 967.02 		N:4
Morton         		Mean: 159.66 		Best: 966.68 		N:6
Mack           		Mean: 189.58 		Best: 959.67 		N:5
Fields         		Mean: 187.64 		Best: 952.12 		N:5
Solis          		Mean: 104.49 		Best: 950.92 		N:9
Cook           		Mean: 93.18 		Best: 946.51 		N:10
Good           		Mean: 156.72 		Best: 945.06 		N:6
Brown          		Mean: 155.85 		Best: 937.67 		N:6
Foster         		Mean: 185.72 		Best: 934.84 		N:5

########## REPORT GEN: 37 ##########
SPECIES: 
Rodriguez      		Mean: 189.36 		Best: 968.35 		N:5
Solis          		Mean: 119.04 		Best: 968.49 		N:8
Brown          		Mean: 94.52 		Best: 968.24 		N:10
Cook           		Mean: 155.89 		Best: 968.24 		N:6
Good           		Mean: 158.04 		Best: 967.02 		N:6
Bass           		Mean: 135.7 		Best: 966.68 		N:7
Mack           		Mean: 78.61 		Best: 961.01 		N:12
Hendley        		Mean: 189.75 		Best: 961.01 		N:5
Cunningham     		Mean: 135.25 		Best: 959.67 		N:7
Sallade        		Mean: 239.2 		Best: 959.67 		N:4
Morton         		Mean: 312.62 		Best: 959.67 		N:3
Fields         		Mean: 78.76 		Best: 959.67 		N:12
Foster         		Mean: 93.88 		Best: 940.52 		N:10
Brown          		Mean: 185.57 		Best: 934.8 		N:5

########## REPORT GEN: 38 ##########
SPECIES: 
Cunningham     		Mean: 87.54 		Best: 968.49 		N:11
Morton         		Mean: 190.77 		Best: 968.35 		N:5
Brown          		Mean: 134.71 		Best: 968.24 		N:7
Cook           		Mean: 159.48 		Best: 968.24 		N:6
Good           		Mean: 156.65 		Best: 968.24 		N:6
Solis          		Mean: 85.91 		Best: 967.02 		N:11
Fields         		Mean: 93.72 		Best: 966.68 		N:10
Foster         		Mean: 135.97 		Best: 959.67 		N:7
Brown          		Mean: 135.38 		Best: 961.01 		N:7
Mack           		Mean: 234.85 		Best: 940.52 		N:4
Hendley        		Mean: 117.86 		Best: 940.32 		N:8
Bass           		Mean: 185.97 		Best: 935.4 		N:5
Rodriguez      		Mean: 93.55 		Best: 933.92 		N:10
Sallade        		Mean: 310.57 		Best: 926.45 		N:3

########## REPORT GEN: 39 ##########
SPECIES: 
Good           		Mean: 78.97 		Best: 968.24 		N:12
Bass           		Mean: 106.28 		Best: 968.35 		N:9
Cunningham     		Mean: 117.85 		Best: 967.02 		N:8
Mack           		Mean: 94.98 		Best: 966.68 		N:10
Cook           		Mean: 134.56 		Best: 959.67 		N:7
Hendley        		Mean: 78.65 		Best: 959.67 		N:12
Brown          		Mean: 312.74 		Best: 946.51 		N:3
Brown          		Mean: 118.04 		Best: 946.51 		N:8
Sallade        		Mean: 134.03 		Best: 945.06 		N:7
Morton         		Mean: 156.8 		Best: 944.5 		N:6
Foster         		Mean: 155.87 		Best: 939.93 		N:6
Rodriguez      		Mean: 133.46 		Best: 933.52 		N:7
Fields         		Mean: 232.42 		Best: 926.9 		N:4

########## REPORT GEN: 40 ##########
SPECIES: 
Rodriguez      		Mean: 62.7 		Best: 968.49 		N:15
Mack           		Mean: 105.15 		Best: 968.24 		N:9
Hendley        		Mean: 317.75 		Best: 968.24 		N:3
Morton         		Mean: 118.37 		Best: 968.24 		N:8
Cunningham     		Mean: 156.0 		Best: 967.02 		N:6
Good           		Mean: 105.67 		Best: 966.68 		N:9
Brown          		Mean: 104.68 		Best: 961.44 		N:9
Bass           		Mean: 315.05 		Best: 961.37 		N:3
Cook           		Mean: 85.13 		Best: 961.37 		N:11
Sallade        		Mean: 85.53 		Best: 959.67 		N:11
Foster         		Mean: 186.9 		Best: 939.49 		N:5
Brown          		Mean: 468.37 		Best: 936.74 		N:2
Solis          		Mean: 133.37 		Best: 934.61 		N:7
Fields         		Mean: 307.54 		Best: 926.9 		N:3

########## REPORT GEN: 41 ##########
SPECIES: 
Solis          		Mean: 134.64 		Best: 968.49 		N:7
Rodriguez      		Mean: 475.67 		Best: 968.24 		N:2
Good           		Mean: 86.4 		Best: 968.24 		N:11
Brown          		Mean: 78.93 		Best: 968.24 		N:12
Fields         		Mean: 134.68 		Best: 968.24 		N:7
Mack           		Mean: 94.18 		Best: 967.02 		N:10
Brown          		Mean: 104.98 		Best: 961.44 		N:9
Foster         		Mean: 85.32 		Best: 939.02 		N:11
Hendley        		Mean: 133.14 		Best: 935.6 		N:7
Bass           		Mean: 116.25 		Best: 935.4 		N:8
Morton         		Mean: 133.79 		Best: 936.74 		N:7
Cunningham     		Mean: 152.9 		Best: 926.9 		N:6
Sallade        		Mean: 457.16 		Best: 910.31 		N:2

########## REPORT GEN: 42 ##########
SPECIES: 
Good           		Mean: 78.69 		Best: 968.49 		N:12
Solis          		Mean: 105.29 		Best: 968.24 		N:9
Mack           		Mean: 192.45 		Best: 968.24 		N:5
Foster         		Mean: 58.62 		Best: 966.68 		N:16
Morton         		Mean: 94.01 		Best: 961.44 		N:10
Cunningham     		Mean: 186.66 		Best: 953.77 		N:5
Rodriguez      		Mean: 133.67 		Best: 946.51 		N:7
Brown          		Mean: 156.1 		Best: 939.02 		N:6
Hendley        		Mean: 186.8 		Best: 939.02 		N:5
Sallade        		Mean: 153.87 		Best: 936.74 		N:6
Brown          		Mean: 230.73 		Best: 935.6 		N:4
Fields         		Mean: 184.55 		Best: 934.8 		N:5
Cook           		Mean: 184.04 		Best: 923.99 		N:5
Bass           		Mean: 184.32 		Best: 916.1 		N:5

########## REPORT GEN: 43 ##########
SPECIES: 
Good           		Mean: 104.61 		Best: 968.49 		N:9
Sallade        		Mean: 105.14 		Best: 968.24 		N:9
Brown          		Mean: 66.5 		Best: 968.24 		N:14
Cook           		Mean: 314.09 		Best: 966.68 		N:3
Bass           		Mean: 133.45 		Best: 966.68 		N:7
Hendley        		Mean: 77.53 		Best: 961.44 		N:12
Cunningham     		Mean: 155.03 		Best: 946.51 		N:6
Brown          		Mean: 154.68 		Best: 939.02 		N:6
Rodriguez      		Mean: 464.38 		Best: 936.74 		N:2
Fields         		Mean: 103.39 		Best: 934.8 		N:9
Foster         		Mean: 462.37 		Best: 925.51 		N:2
Morton         		Mean: 232.62 		Best: 923.99 		N:4
Mack           		Mean: 77.02 		Best: 919.48 		N:12
Solis          		Mean: 184.29 		Best: 916.55 		N:5

########## REPORT GEN: 44 ##########
SPECIES: 
Solis          		Mean: 62.6 		Best: 968.49 		N:15
Cook           		Mean: 157.26 		Best: 968.24 		N:6
Cunningham     		Mean: 188.75 		Best: 968.24 		N:5
Fields         		Mean: 232.32 		Best: 968.24 		N:4
Brown          		Mean: 155.6 		Best: 966.68 		N:6
Sallade        		Mean: 155.62 		Best: 961.44 		N:6
Hendley        		Mean: 92.08 		Best: 940.54 		N:10
Bass           		Mean: 186.9 		Best: 939.02 		N:5
Foster         		Mean: 70.71 		Best: 939.02 		N:13
Mack           		Mean: 102.58 		Best: 939.02 		N:9
Brown          		Mean: 184.74 		Best: 936.74 		N:5
Good           		Mean: 116.69 		Best: 934.8 		N:8
Morton         		Mean: 185.76 		Best: 919.0 		N:5
Rodriguez      		Mean: 307.51 		Best: 917.67 		N:3

########## REPORT GEN: 45 ##########
SPECIES: 
Good           		Mean: 104.06 		Best: 968.83 		N:9
Foster         		Mean: 472.48 		Best: 968.49 		N:2
Cunningham     		Mean: 314.84 		Best: 968.24 		N:3
Fields         		Mean: 71.91 		Best: 968.24 		N:13
Mack           		Mean: 94.59 		Best: 968.24 		N:10
Morton         		Mean: 133.37 		Best: 968.24 		N:7
Hendley        		Mean: 316.44 		Best: 966.68 		N:3
Cook           		Mean: 84.41 		Best: 941.57 		N:11
Rodriguez      		Mean: 233.76 		Best: 941.42 		N:4
Brown          		Mean: 131.66 		Best: 940.89 		N:7
Bass           		Mean: 152.58 		Best: 939.02 		N:6
Solis          		Mean: 84.09 		Best: 930.06 		N:11
Brown          		Mean: 115.25 		Best: 917.67 		N:8
Sallade        		Mean: 151.8 		Best: 904.06 		N:6

########## REPORT GEN: 46 ##########
SPECIES: 
Sallade        		Mean: 104.8 		Best: 968.49 		N:9
Cunningham     		Mean: 132.13 		Best: 968.24 		N:7
Cook           		Mean: 156.87 		Best: 968.24 		N:6
Brown          		Mean: 86.19 		Best: 968.83 		N:11
Solis          		Mean: 156.29 		Best: 968.24 		N:6
Hendley        		Mean: 49.16 		Best: 967.23 		N:19
Mack           		Mean: 134.82 		Best: 966.68 		N:7
Foster         		Mean: 133.53 		Best: 941.57 		N:7
Morton         		Mean: 153.96 		Best: 930.06 		N:6
Brown          		Mean: 181.71 		Best: 919.87 		N:5
Good           		Mean: 304.91 		Best: 917.33 		N:3
Fields         		Mean: 129.75 		Best: 913.19 		N:7
Rodriguez      		Mean: 151.59 		Best: 913.19 		N:6

########## REPORT GEN: 47 ##########
SPECIES: 
Sallade        		Mean: 103.62 		Best: 968.24 		N:9
Cunningham     		Mean: 85.82 		Best: 968.24 		N:11
Brown          		Mean: 104.4 		Best: 967.23 		N:9
Morton         		Mean: 133.49 		Best: 966.68 		N:7
Mack           		Mean: 66.89 		Best: 961.11 		N:14
Foster         		Mean: 232.41 		Best: 943.96 		N:4
Cook           		Mean: 187.76 		Best: 940.65 		N:5
Fields         		Mean: 153.64 		Best: 939.02 		N:6
Bass           		Mean: 230.62 		Best: 935.87 		N:4
Good           		Mean: 230.22 		Best: 935.87 		N:4
Solis          		Mean: 307.78 		Best: 922.65 		N:3
Hendley        		Mean: 182.34 		Best: 919.87 		N:5
Rodriguez      		Mean: 130.0 		Best: 919.87 		N:7
Brown          		Mean: 130.64 		Best: 917.63 		N:7

########## REPORT GEN: 48 ##########
SPECIES: 
Hendley        		Mean: 155.69 		Best: 968.24 		N:6
Foster         		Mean: 156.27 		Best: 966.68 		N:6
Solis          		Mean: 185.97 		Best: 961.11 		N:5
Cunningham     		Mean: 234.29 		Best: 943.96 		N:4
Fields         		Mean: 102.38 		Best: 940.65 		N:9
Good           		Mean: 184.66 		Best: 935.87 		N:5
Mack           		Mean: 102.44 		Best: 935.43 		N:9
Bass           		Mean: 154.5 		Best: 934.7 		N:6
Sallade        		Mean: 91.05 		Best: 919.87 		N:10
Rodriguez      		Mean: 152.45 		Best: 919.87 		N:6
Cook           		Mean: 227.69 		Best: 913.37 		N:4
Morton         		Mean: 130.1 		Best: 911.65 		N:7
Brown          		Mean: 181.49 		Best: 905.05 		N:5

########## REPORT GEN: 49 ##########
SPECIES: 
Good           		Mean: 115.61 		Best: 966.68 		N:8
Morton         		Mean: 102.09 		Best: 961.11 		N:9
Hendley        		Mean: 114.13 		Best: 934.7 		N:8
Fields         		Mean: 229.5 		Best: 928.11 		N:4
Mack           		Mean: 91.67 		Best: 922.65 		N:10
Bass           		Mean: 153.63 		Best: 922.65 		N:6
Sallade        		Mean: 228.34 		Best: 919.87 		N:4
Brown          		Mean: 227.39 		Best: 913.37 		N:4
Foster         		Mean: 452.97 		Best: 905.69 		N:2
Cook           		Mean: 226.27 		Best: 905.14 		N:4

########## REPORT GEN: 50 ##########
SPECIES: 
Solis          		Mean: 153.76 		Best: 968.83 		N:6
Morton         		Mean: 102.98 		Best: 968.66 		N:9
Mack           		Mean: 114.9 		Best: 968.66 		N:8
Foster         		Mean: 155.05 		Best: 968.66 		N:6
Bass           		Mean: 474.19 		Best: 962.28 		N:2
Sallade        		Mean: 236.82 		Best: 961.11 		N:4
Hendley        		Mean: 130.78 		Best: 946.54 		N:7
Brown          		Mean: 184.66 		Best: 945.37 		N:5
Cook           		Mean: 458.7 		Best: 923.99 		N:2
Fields         		Mean: 229.1 		Best: 917.83 		N:4

########## REPORT GEN: 51 ##########
SPECIES: 
Sallade        		Mean: 188.75 		Best: 968.83 		N:5
Solis          		Mean: 93.34 		Best: 968.66 		N:10
Bass           		Mean: 237.25 		Best: 968.66 		N:4
Cunningham     		Mean: 155.97 		Best: 968.66 		N:6
Foster         		Mean: 186.22 		Best: 962.28 		N:5
Hendley        		Mean: 303.02 		Best: 916.71 		N:3
Mack           		Mean: 302.98 		Best: 908.54 		N:3
Morton         		Mean: 82.59 		Best: 908.14 		N:11
Cook           		Mean: 302.89 		Best: 907.39 		N:3

########## REPORT GEN: 52 ##########
SPECIES: 
Bass           		Mean: 316.16 		Best: 968.66 		N:3
Foster         		Mean: 157.07 		Best: 968.83 		N:6
Solis          		Mean: 93.06 		Best: 958.19 		N:10
Sallade        		Mean: 131.3 		Best: 953.86 		N:7
Morton         		Mean: 60.64 		Best: 911.42 		N:15
Cunningham     		Mean: 75.82 		Best: 908.79 		N:12
Mack           		Mean: 113.69 		Best: 908.54 		N:8

########## REPORT GEN: 53 ##########
SPECIES: 
Foster         		Mean: 158.62 		Best: 968.83 		N:6
Solis          		Mean: 84.85 		Best: 968.66 		N:11
Sallade        		Mean: 62.61 		Best: 968.66 		N:15
Bass           		Mean: 133.8 		Best: 958.19 		N:7
Morton         		Mean: 50.81 		Best: 953.86 		N:18
Mack           		Mean: 39.57 		Best: 909.52 		N:23
Cunningham     		Mean: 45.49 		Best: 908.54 		N:20

########## REPORT GEN: 54 ##########
SPECIES: 
Solis          		Mean: 49.87 		Best: 968.66 		N:19
Bass           		Mean: 58.58 		Best: 968.83 		N:16
Sallade        		Mean: 84.78 		Best: 961.13 		N:11
Foster         		Mean: 132.29 		Best: 933.21 		N:7
Mack           		Mean: 65.14 		Best: 915.09 		N:14
Cunningham     		Mean: 56.97 		Best: 909.52 		N:16
Morton         		Mean: 53.55 		Best: 909.17 		N:17

########## REPORT GEN: 55 ##########
SPECIES: 
Bass           		Mean: 58.79 		Best: 968.66 		N:16
Foster         		Mean: 47.19 		Best: 968.66 		N:20
Solis          		Mean: 54.74 		Best: 958.19 		N:17
Sallade        		Mean: 77.07 		Best: 929.85 		N:12
Cunningham     		Mean: 76.01 		Best: 915.09 		N:12
Morton         		Mean: 65.16 		Best: 913.14 		N:14
Mack           		Mean: 101.49 		Best: 909.52 		N:9

########## REPORT GEN: 56 ##########
SPECIES: 
Foster         		Mean: 67.04 		Best: 968.66 		N:14
Solis          		Mean: 72.16 		Best: 968.66 		N:13
Sallade        		Mean: 85.46 		Best: 961.13 		N:11
Bass           		Mean: 62.93 		Best: 961.13 		N:15
Cunningham     		Mean: 70.23 		Best: 915.09 		N:13
Morton         		Mean: 45.56 		Best: 913.14 		N:20
Mack           		Mean: 65.12 		Best: 913.11 		N:14

########## REPORT GEN: 57 ##########
SPECIES: 
Solis          		Mean: 78.76 		Best: 968.66 		N:12
Bass           		Mean: 58.62 		Best: 968.66 		N:16
Foster         		Mean: 59.03 		Best: 961.1 		N:16
Sallade        		Mean: 55.33 		Best: 961.13 		N:17
Mack           		Mean: 48.13 		Best: 915.09 		N:19
Cunningham     		Mean: 76.06 		Best: 911.73 		N:12
Morton         		Mean: 113.99 		Best: 911.01 		N:8

########## REPORT GEN: 58 ##########
SPECIES: 
Bass           		Mean: 79.94 		Best: 968.66 		N:12
Solis          		Mean: 72.29 		Best: 961.13 		N:13
Foster         		Mean: 47.44 		Best: 961.13 		N:20
Sallade        		Mean: 86.38 		Best: 961.13 		N:11
Mack           		Mean: 45.76 		Best: 917.03 		N:20
Cunningham     		Mean: 91.58 		Best: 915.09 		N:10
Morton         		Mean: 65.23 		Best: 914.09 		N:14

########## REPORT GEN: 59 ##########
SPECIES: 
Foster         		Mean: 56.16 		Best: 968.66 		N:17
Bass           		Mean: 118.24 		Best: 961.21 		N:8
Solis          		Mean: 41.34 		Best: 961.13 		N:23
Sallade        		Mean: 86.06 		Best: 961.13 		N:11
Mack           		Mean: 76.78 		Best: 935.33 		N:12
Cunningham     		Mean: 76.24 		Best: 920.82 		N:12
Morton         		Mean: 53.81 		Best: 911.47 		N:17

########## REPORT GEN: 60 ##########
SPECIES: 
Solis          		Mean: 55.37 		Best: 968.83 		N:17
Foster         		Mean: 160.07 		Best: 968.66 		N:6
Sallade        		Mean: 42.8 		Best: 961.33 		N:22
Bass           		Mean: 59.96 		Best: 961.21 		N:16
Mack           		Mean: 70.75 		Best: 935.33 		N:13
Cunningham     		Mean: 76.43 		Best: 914.28 		N:12
Morton         		Mean: 61.24 		Best: 914.28 		N:15

########## REPORT GEN: 61 ##########
SPECIES: 
Foster         		Mean: 73.5 		Best: 968.83 		N:13
Sallade        		Mean: 63.29 		Best: 961.33 		N:15
Bass           		Mean: 73.49 		Best: 961.21 		N:13
Solis          		Mean: 72.99 		Best: 961.33 		N:13
Cunningham     		Mean: 70.95 		Best: 935.33 		N:13
Mack           		Mean: 54.0 		Best: 911.73 		N:17
Morton         		Mean: 57.31 		Best: 911.2 		N:16

########## REPORT GEN: 62 ##########
SPECIES: 
Solis          		Mean: 53.27 		Best: 968.83 		N:18
Foster         		Mean: 68.0 		Best: 968.22 		N:14
Bass           		Mean: 59.17 		Best: 961.73 		N:16
Sallade        		Mean: 72.81 		Best: 961.07 		N:13
Mack           		Mean: 71.01 		Best: 935.33 		N:13
Cunningham     		Mean: 183.68 		Best: 910.56 		N:5
Morton         		Mean: 70.54 		Best: 911.73 		N:13
Moore          		Mean: 113.86 		Best: 907.45 		N:8

########## REPORT GEN: 63 ##########
SPECIES: 
Sallade        		Mean: 63.77 		Best: 968.83 		N:15
Foster         		Mean: 63.49 		Best: 968.22 		N:15
Bass           		Mean: 86.86 		Best: 961.73 		N:11
Solis          		Mean: 158.62 		Best: 961.17 		N:6
Moore          		Mean: 70.62 		Best: 935.33 		N:13
Morton         		Mean: 35.04 		Best: 920.08 		N:26
Core           		Mean: 101.79 		Best: 910.96 		N:9
Cunningham     		Mean: 228.28 		Best: 910.56 		N:4

########## REPORT GEN: 64 ##########
SPECIES: 
Solis          		Mean: 95.45 		Best: 968.83 		N:10
Foster         		Mean: 79.38 		Best: 968.22 		N:12
Bass           		Mean: 86.1 		Best: 961.73 		N:11
Sallade        		Mean: 135.21 		Best: 961.33 		N:7
Leung          		Mean: 234.05 		Best: 935.41 		N:4
Core           		Mean: 83.61 		Best: 935.33 		N:11
Lewis          		Mean: 308.43 		Best: 925.24 		N:3
Mack           		Mean: 114.51 		Best: 910.96 		N:8
Cunningham     		Mean: 114.22 		Best: 912.12 		N:8
Moore          		Mean: 76.13 		Best: 905.89 		N:12
Morton         		Mean: 65.31 		Best: 905.89 		N:14

########## REPORT GEN: 65 ##########
SPECIES: 
Solis          		Mean: 240.4 		Best: 968.83 		N:4
Bass           		Mean: 188.97 		Best: 968.22 		N:5
Foster         		Mean: 86.27 		Best: 961.73 		N:11
Leung          		Mean: 49.98 		Best: 961.33 		N:19
Lewis          		Mean: 103.83 		Best: 961.33 		N:9
Cunningham     		Mean: 70.5 		Best: 953.46 		N:13
Morton         		Mean: 230.65 		Best: 935.33 		N:4
Mallard        		Mean: 310.32 		Best: 926.93 		N:3
Sallade        		Mean: 463.07 		Best: 926.14 		N:2
Leffert        		Mean: 459.83 		Best: 916.27 		N:2
Mack           		Mean: 114.71 		Best: 910.96 		N:8
Moore          		Mean: 82.74 		Best: 907.25 		N:11
Berry          		Mean: 113.89 		Best: 904.99 		N:8

########## REPORT GEN: 66 ##########
SPECIES: 
Foster         		Mean: 118.27 		Best: 961.73 		N:8
Lewis          		Mean: 157.35 		Best: 961.33 		N:6
Cunningham     		Mean: 101.91 		Best: 953.46 		N:9
Sallade        		Mean: 78.21 		Best: 936.03 		N:12
Bass           		Mean: 156.3 		Best: 933.9 		N:6
Leffert        		Mean: 133.09 		Best: 932.81 		N:7
Leung          		Mean: 156.12 		Best: 926.74 		N:6
Mallard        		Mean: 117.34 		Best: 926.74 		N:8
Morton         		Mean: 229.43 		Best: 907.25 		N:4
Moore          		Mean: 303.41 		Best: 906.7 		N:3
Berry          		Mean: 181.95 		Best: 904.99 		N:5

########## REPORT GEN: 67 ##########
SPECIES: 
Bass           		Mean: 104.02 		Best: 961.73 		N:9
Lewis          		Mean: 236.36 		Best: 961.33 		N:4
Foster         		Mean: 103.9 		Best: 933.9 		N:9
Havard         		Mean: 116.49 		Best: 926.74 		N:8
Sallade        		Mean: 155.03 		Best: 926.14 		N:6
Leung          		Mean: 464.61 		Best: 926.14 		N:2
Mallard        		Mean: 463.05 		Best: 926.14 		N:2
Leffert        		Mean: 308.44 		Best: 922.07 		N:3
Moore          		Mean: 91.23 		Best: 911.01 		N:10
Core           		Mean: 227.24 		Best: 907.81 		N:4
Berry          		Mean: 181.6 		Best: 906.7 		N:5

