########## REPORT GEN: 2 ##########
SPECIES: 
Kave           		Mean: 89.3 		Best: 482.31 		N:5
Smith          		Mean: 43.99 		Best: 714.23 		N:10
Bellinger      		Mean: 76.76 		Best: 714.23 		N:6
Simmons        		Mean: 109.17 		Best: 656.44 		N:4
Fullerton      		Mean: 74.69 		Best: 597.56 		N:5
Shortell       		Mean: 62.07 		Best: 495.09 		N:6
Wallace        		Mean: 25.88 		Best: 488.72 		N:14
Nash           		Mean: 91.14 		Best: 482.31 		N:4
Hudson         		Mean: 85.43 		Best: 482.31 		N:4
Wallace        		Mean: 72.41 		Best: 369.56 		N:4
Lloyd          		Mean: 61.45 		Best: 367.32 		N:5
Keene          		Mean: 53.19 		Best: 367.32 		N:7
Garner         		Mean: 74.61 		Best: 367.32 		N:5
Sanchirico     		Mean: 49.13 		Best: 354.72 		N:5
Walker         		Mean: 30.37 		Best: 304.18 		N:8
Kornfeld       		Mean: 70.75 		Best: 296.63 		N:4
Triplett       		Mean: 32.2 		Best: 260.26 		N:8
Cruz           		Mean: 113.7 		Best: 257.4 		N:2
Bruner         		Mean: 33.14 		Best: 200.77 		N:6

########## REPORT GEN: 32 ##########
SPECIES: 
Smith          		Mean: 74.35 		Best: 714.23 		N:5
Simmons        		Mean: 46.04 		Best: 714.23 		N:10
Fullerton      		Mean: 34.36 		Best: 597.56 		N:11
Hudson         		Mean: 27.46 		Best: 495.09 		N:11
Bellinger      		Mean: 33.14 		Best: 488.72 		N:9
Nash           		Mean: 49.59 		Best: 482.31 		N:7
Walker         		Mean: 97.02 		Best: 482.31 		N:4
Triplett       		Mean: 34.98 		Best: 369.56 		N:8
Wallace        		Mean: 63.68 		Best: 367.32 		N:5
Lloyd          		Mean: 32.48 		Best: 367.32 		N:10
Keene          		Mean: 74.72 		Best: 367.32 		N:5
Garner         		Mean: 53.46 		Best: 367.32 		N:7
Wallace        		Mean: 38.26 		Best: 296.63 		N:7
Kornfeld       		Mean: 57.34 		Best: 296.63 		N:5
Shortell       		Mean: 66.35 		Best: 274.42 		N:4
Cruz           		Mean: 29.72 		Best: 274.42 		N:8
Sanchirico     		Mean: 50.54 		Best: 200.77 		N:4
Bruner         		Mean: 67.47 		Best: 200.77 		N:3

########## REPORT GEN: 33 ##########
SPECIES: 
Smith          		Mean: 59.58 		Best: 714.23 		N:6
Simmons        		Mean: 49.57 		Best: 714.23 		N:8
Bellinger      		Mean: 45.5 		Best: 714.23 		N:9
Fullerton      		Mean: 96.97 		Best: 597.56 		N:4
Bruner         		Mean: 23.21 		Best: 495.09 		N:11
Nash           		Mean: 45.64 		Best: 482.31 		N:8
Hudson         		Mean: 69.62 		Best: 481.1 		N:5
Sanchirico     		Mean: 58.83 		Best: 407.12 		N:5
Triplett       		Mean: 61.14 		Best: 369.56 		N:5
Lloyd          		Mean: 25.3 		Best: 367.32 		N:13
Garner         		Mean: 53.63 		Best: 367.32 		N:7
Keene          		Mean: 74.58 		Best: 367.32 		N:5
Shortell       		Mean: 18.62 		Best: 366.52 		N:14
Wallace        		Mean: 98.83 		Best: 299.62 		N:3
Cruz           		Mean: 44.88 		Best: 299.62 		N:6
Wallace        		Mean: 53.85 		Best: 296.63 		N:5
Kornfeld       		Mean: 27.89 		Best: 296.63 		N:10
Walker         		Mean: 67.53 		Best: 200.77 		N:3

########## REPORT GEN: 34 ##########
SPECIES: 
Smith          		Mean: 84.71 		Best: 714.23 		N:6
Bellinger      		Mean: 51.96 		Best: 714.23 		N:8
Bruner         		Mean: 31.21 		Best: 597.56 		N:10
Cruz           		Mean: 34.05 		Best: 495.09 		N:11
Fullerton      		Mean: 42.63 		Best: 482.31 		N:8
Keene          		Mean: 199.91 		Best: 426.85 		N:2
Garner         		Mean: 27.64 		Best: 381.15 		N:13
Kornfeld       		Mean: 38.98 		Best: 369.56 		N:7
Wallace        		Mean: 35.34 		Best: 367.32 		N:10
Lloyd          		Mean: 73.86 		Best: 366.52 		N:4
Shortell       		Mean: 44.21 		Best: 366.52 		N:7
Simmons        		Mean: 29.36 		Best: 359.6 		N:9
Walker         		Mean: 37.73 		Best: 354.72 		N:6
Nash           		Mean: 80.34 		Best: 321.37 		N:4
Triplett       		Mean: 43.15 		Best: 296.63 		N:6
Wallace        		Mean: 45.79 		Best: 296.63 		N:6
Hudson         		Mean: 87.0 		Best: 257.57 		N:3
Sanchirico     		Mean: 14.11 		Best: 200.77 		N:13

########## REPORT GEN: 35 ##########
SPECIES: 
Smith          		Mean: 67.31 		Best: 714.23 		N:7
Simmons        		Mean: 50.57 		Best: 714.23 		N:10
Fullerton      		Mean: 54.21 		Best: 597.56 		N:7
Hudson         		Mean: 15.78 		Best: 494.42 		N:19
Walker         		Mean: 47.95 		Best: 482.31 		N:5
Sanchirico     		Mean: 31.92 		Best: 478.1 		N:7
Garner         		Mean: 92.94 		Best: 426.85 		N:4
Lloyd          		Mean: 67.98 		Best: 426.85 		N:5
Cruz           		Mean: 68.45 		Best: 381.15 		N:5
Kornfeld       		Mean: 55.4 		Best: 369.56 		N:5
Keene          		Mean: 68.56 		Best: 367.32 		N:5
Bellinger      		Mean: 39.58 		Best: 359.6 		N:7
Nash           		Mean: 44.14 		Best: 321.37 		N:7
Shortell       		Mean: 140.71 		Best: 299.62 		N:2
Bruner         		Mean: 34.98 		Best: 296.63 		N:8
Wallace        		Mean: 142.76 		Best: 285.15 		N:2
Triplett       		Mean: 49.15 		Best: 260.26 		N:5

########## REPORT GEN: 36 ##########
SPECIES: 
Simmons        		Mean: 83.1 		Best: 714.23 		N:6
Bellinger      		Mean: 48.58 		Best: 714.23 		N:8
Nash           		Mean: 75.05 		Best: 597.56 		N:5
Sanchirico     		Mean: 97.63 		Best: 482.31 		N:3
Shortell       		Mean: 57.33 		Best: 482.31 		N:6
Walker         		Mean: 53.8 		Best: 478.1 		N:5
Lloyd          		Mean: 42.39 		Best: 426.85 		N:9
Wallace        		Mean: 44.98 		Best: 426.85 		N:7
Wallace        		Mean: 34.71 		Best: 369.56 		N:8
Hudson         		Mean: 52.35 		Best: 366.52 		N:6
Cruz           		Mean: 77.07 		Best: 366.52 		N:4
Keene          		Mean: 47.72 		Best: 366.52 		N:7
Fullerton      		Mean: 37.91 		Best: 321.37 		N:8
Bruner         		Mean: 69.59 		Best: 296.63 		N:4
Garner         		Mean: 96.0 		Best: 285.15 		N:3
Smith          		Mean: 92.57 		Best: 275.42 		N:3
Kornfeld       		Mean: 78.12 		Best: 249.43 		N:3
Triplett       		Mean: 124.75 		Best: 249.43 		N:2

########## REPORT GEN: 37 ##########
SPECIES: 
Simmons        		Mean: 57.61 		Best: 714.23 		N:7
Bellinger      		Mean: 31.58 		Best: 714.23 		N:13
Nash           		Mean: 38.7 		Best: 597.56 		N:9
Walker         		Mean: 38.36 		Best: 482.31 		N:8
Hudson         		Mean: 45.23 		Best: 426.85 		N:7
Cruz           		Mean: 33.22 		Best: 426.85 		N:10
Bruner         		Mean: 57.81 		Best: 369.56 		N:5
Shortell       		Mean: 61.01 		Best: 366.52 		N:5
Wallace        		Mean: 64.89 		Best: 366.52 		N:5
Keene          		Mean: 41.18 		Best: 366.52 		N:7
Garner         		Mean: 52.28 		Best: 366.52 		N:6
Fullerton      		Mean: 59.03 		Best: 328.36 		N:5
Wallace        		Mean: 95.23 		Best: 296.63 		N:3
Triplett       		Mean: 31.57 		Best: 296.63 		N:8
Smith          		Mean: 90.05 		Best: 279.25 		N:3
Kornfeld       		Mean: 40.79 		Best: 256.48 		N:6
Sanchirico     		Mean: 30.62 		Best: 153.69 		N:5

########## REPORT GEN: 38 ##########
SPECIES: 
Simmons        		Mean: 48.18 		Best: 714.23 		N:7
Smith          		Mean: 70.05 		Best: 714.23 		N:6
Fullerton      		Mean: 35.15 		Best: 597.56 		N:10
Hudson         		Mean: 97.56 		Best: 426.85 		N:4
Garner         		Mean: 27.95 		Best: 426.85 		N:11
Bruner         		Mean: 37.14 		Best: 389.8 		N:8
Cruz           		Mean: 116.16 		Best: 366.52 		N:3
Keene          		Mean: 35.66 		Best: 366.52 		N:8
Cline          		Mean: 164.18 		Best: 328.36 		N:2
Nash           		Mean: 60.66 		Best: 321.37 		N:5
Wallace        		Mean: 69.5 		Best: 296.63 		N:4
Triplett       		Mean: 49.43 		Best: 296.63 		N:5
Kornfeld       		Mean: 27.27 		Best: 296.63 		N:10
Shortell       		Mean: 18.73 		Best: 285.15 		N:15
Wallace        		Mean: 41.42 		Best: 285.15 		N:7
Bellinger      		Mean: 30.24 		Best: 279.25 		N:9
Walker         		Mean: 27.35 		Best: 220.7 		N:6
Sanchirico     		Mean: 38.38 		Best: 153.69 		N:4

########## REPORT GEN: 39 ##########
SPECIES: 
Smith          		Mean: 58.0 		Best: 714.23 		N:7
Bellinger      		Mean: 65.27 		Best: 714.23 		N:7
Cruz           		Mean: 32.43 		Best: 597.56 		N:11
Nash           		Mean: 81.89 		Best: 453.01 		N:4
Hudson         		Mean: 32.48 		Best: 426.85 		N:10
Wallace        		Mean: 34.46 		Best: 389.8 		N:8
Kornfeld       		Mean: 52.77 		Best: 369.56 		N:5
Fullerton      		Mean: 60.71 		Best: 366.52 		N:5
Garner         		Mean: 61.51 		Best: 366.52 		N:5
Keene          		Mean: 35.44 		Best: 366.52 		N:8
Shortell       		Mean: 44.25 		Best: 366.52 		N:6
Cline          		Mean: 82.09 		Best: 328.36 		N:4
Bruner         		Mean: 29.8 		Best: 296.63 		N:9
Triplett       		Mean: 95.28 		Best: 296.63 		N:3
Simmons        		Mean: 32.21 		Best: 279.25 		N:8
Walker         		Mean: 28.27 		Best: 257.4 		N:7
Sanchirico     		Mean: 49.7 		Best: 153.69 		N:3

########## REPORT GEN: 40 ##########
SPECIES: 
Smith          		Mean: 54.69 		Best: 714.23 		N:7
Bellinger      		Mean: 54.6 		Best: 714.23 		N:6
Simmons        		Mean: 92.84 		Best: 714.23 		N:5
Nash           		Mean: 43.95 		Best: 597.56 		N:8
Wallace        		Mean: 71.29 		Best: 509.02 		N:5
Fullerton      		Mean: 30.74 		Best: 453.01 		N:10
Wallace        		Mean: 31.15 		Best: 426.85 		N:11
Bruner         		Mean: 41.24 		Best: 389.8 		N:7
Triplett       		Mean: 74.36 		Best: 369.56 		N:4
Hudson         		Mean: 37.83 		Best: 366.52 		N:8
Keene          		Mean: 165.11 		Best: 366.52 		N:2
Cline          		Mean: 103.93 		Best: 328.36 		N:3
Shortell       		Mean: 72.17 		Best: 321.37 		N:4
Kornfeld       		Mean: 65.51 		Best: 296.26 		N:4
Cruz           		Mean: 135.57 		Best: 285.15 		N:2
Garner         		Mean: 91.07 		Best: 285.15 		N:3
Sanchirico     		Mean: 38.96 		Best: 158.98 		N:4
Walker         		Mean: 37.76 		Best: 152.46 		N:4

########## REPORT GEN: 41 ##########
SPECIES: 
Smith          		Mean: 72.11 		Best: 714.23 		N:6
Bellinger      		Mean: 53.95 		Best: 714.23 		N:6
Simmons        		Mean: 37.22 		Best: 714.23 		N:11
Nash           		Mean: 57.91 		Best: 597.56 		N:6
Shortell       		Mean: 69.85 		Best: 597.56 		N:5
Bruner         		Mean: 44.47 		Best: 509.02 		N:7
Fullerton      		Mean: 108.75 		Best: 453.01 		N:3
Wallace        		Mean: 48.59 		Best: 426.85 		N:6
Triplett       		Mean: 34.93 		Best: 389.8 		N:8
Kornfeld       		Mean: 41.72 		Best: 389.8 		N:7
Keene          		Mean: 33.84 		Best: 366.52 		N:9
Cruz           		Mean: 75.52 		Best: 366.52 		N:4
Cline          		Mean: 37.89 		Best: 328.36 		N:7
Garner         		Mean: 54.99 		Best: 328.36 		N:5
Wallace        		Mean: 43.12 		Best: 296.26 		N:6
Walker         		Mean: 63.85 		Best: 257.4 		N:3
Sanchirico     		Mean: 30.99 		Best: 158.98 		N:5

########## REPORT GEN: 42 ##########
SPECIES: 
Smith          		Mean: 67.88 		Best: 714.23 		N:5
Bellinger      		Mean: 68.11 		Best: 714.23 		N:6
Simmons        		Mean: 46.01 		Best: 714.23 		N:10
Shortell       		Mean: 41.5 		Best: 597.56 		N:9
Cline          		Mean: 87.46 		Best: 597.56 		N:4
Kornfeld       		Mean: 62.59 		Best: 509.02 		N:5
Nash           		Mean: 33.21 		Best: 426.85 		N:9
Bruner         		Mean: 39.68 		Best: 389.8 		N:7
Wallace        		Mean: 80.44 		Best: 389.8 		N:4
Fullerton      		Mean: 46.8 		Best: 366.52 		N:6
Keene          		Mean: 49.77 		Best: 366.52 		N:6
Cruz           		Mean: 55.64 		Best: 366.52 		N:5
Wallace        		Mean: 40.12 		Best: 285.15 		N:6
Hudson         		Mean: 64.96 		Best: 285.15 		N:4
Walker         		Mean: 107.6 		Best: 257.4 		N:2
Sanchirico     		Mean: 30.87 		Best: 257.4 		N:7
Triplett       		Mean: 62.73 		Best: 249.43 		N:4

########## REPORT GEN: 43 ##########
SPECIES: 
Smith          		Mean: 68.36 		Best: 714.23 		N:7
Bellinger      		Mean: 42.58 		Best: 714.23 		N:7
Simmons        		Mean: 48.63 		Best: 714.23 		N:7
Garner         		Mean: 37.28 		Best: 714.23 		N:10
Hudson         		Mean: 48.68 		Best: 597.56 		N:8
Kornfeld       		Mean: 26.89 		Best: 509.02 		N:11
Fullerton      		Mean: 53.42 		Best: 452.74 		N:6
Bruner         		Mean: 62.36 		Best: 389.8 		N:5
Cline          		Mean: 38.0 		Best: 366.52 		N:7
Walker         		Mean: 66.44 		Best: 366.52 		N:4
Wallace        		Mean: 68.14 		Best: 365.75 		N:4
Nash           		Mean: 42.28 		Best: 285.15 		N:6
Shortell       		Mean: 62.12 		Best: 257.4 		N:4
Cruz           		Mean: 125.8 		Best: 257.4 		N:2
Wallace        		Mean: 41.83 		Best: 249.43 		N:6
Triplett       		Mean: 83.52 		Best: 249.43 		N:3
Cournoyer      		Mean: 39.08 		Best: 158.98 		N:4

########## REPORT GEN: 44 ##########
SPECIES: 
Smith          		Mean: 41.02 		Best: 714.23 		N:7
Bellinger      		Mean: 47.69 		Best: 714.23 		N:10
Hudson         		Mean: 50.7 		Best: 714.23 		N:7
Fullerton      		Mean: 171.36 		Best: 597.56 		N:3
Bruner         		Mean: 41.18 		Best: 509.02 		N:7
Kornfeld       		Mean: 41.22 		Best: 404.49 		N:8
Keene          		Mean: 52.71 		Best: 366.52 		N:5
Cruz           		Mean: 35.35 		Best: 366.52 		N:7
Cline          		Mean: 48.36 		Best: 365.75 		N:5
Shortell       		Mean: 35.65 		Best: 281.21 		N:7
Nash           		Mean: 75.14 		Best: 267.01 		N:3
Wallace        		Mean: 37.12 		Best: 265.32 		N:7
Walker         		Mean: 58.33 		Best: 258.66 		N:4
Garner         		Mean: 24.29 		Best: 257.4 		N:10
Wallace        		Mean: 46.66 		Best: 257.4 		N:5
Triplett       		Mean: 125.32 		Best: 249.43 		N:2
Simmons        		Mean: 117.62 		Best: 237.42 		N:2
Cournoyer      		Mean: 49.7 		Best: 158.98 		N:3

